Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
2,2,2,2,-1,-1,-1,1,2,1,1,1,692,1,1
2,1,2,1,0,1,1,1,1,1,2,0,808,0,1
1,2,2,2,1,0,1,1,2,1,3,1,854,1,1
2,2,2,2,1,1,0,1,2,1,4,1,462,1,1
1,1,2,2,1,1,0,1,2,1,5,1,555,1,1
2,2,1,1,1,0,1,1,1,1,6,1,640,1,1
1,2,1,1,1,0,0,1,1,1,7,1,644,1,1
2,1,1,2,1,1,1,1,2,1,8,1,601,0,1
1,2,1,2,1,0,1,1,1,1,9,0,562,0,1
1,2,2,1,0,0,1,1,2,1,10,0,564,0,1
2,2,1,2,1,1,0,1,2,1,11,0,983,0,1
1,1,2,2,1,0,0,1,2,1,12,1,719,1,1
1,1,1,1,0,0,1,1,1,1,13,1,723,1,1
2,2,2,2,1,1,1,1,2,1,14,1,739,1,1
1,1,1,1,1,1,1,1,1,1,15,1,702,1,1
2,1,1,1,1,0,0,1,1,1,16,1,672,1,1
1,2,1,1,1,0,0,1,1,1,17,1,589,1,1
2,2,2,2,1,1,1,1,2,1,18,1,752,1,1
2,2,1,2,0,0,0,1,2,1,19,1,944,0,1
1,2,1,1,1,1,1,1,1,1,20,1,490,1,1
2,1,2,2,1,0,1,1,2,1,21,1,683,1,1
1,2,2,2,1,0,0,1,2,1,22,1,741,1,1
2,2,1,1,1,1,1,1,1,1,23,1,621,1,1
1,2,2,1,1,1,1,1,2,1,24,0,1121,0,1
2,1,1,2,1,1,0,1,2,1,25,1,799,0,1
2,1,1,1,0,0,1,1,1,1,26,1,607,1,1
1,2,1,2,1,0,0,1,1,1,27,0,954,0,1
2,1,2,2,1,1,1,1,2,1,28,1,855,1,1
1,1,2,1,1,0,0,1,2,1,29,0,1259,0,1
1,2,2,2,0,1,0,1,2,1,30,1,1221,1,1
2,2,1,1,1,1,1,1,1,1,31,1,936,1,1
1,2,1,1,1,1,0,1,1,1,32,1,641,1,1
1,2,1,1,0,0,0,1,1,1,33,1,591,1,1
2,1,2,2,1,1,1,1,2,1,34,1,684,1,1
1,1,1,1,1,0,1,1,1,1,35,1,657,1,1
2,1,2,2,1,0,1,1,2,1,36,1,791,1,1
1,2,1,1,1,1,1,1,1,1,37,1,856,1,1
2,1,1,1,1,0,0,1,1,1,38,1,663,1,1
