Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
2,1,2,2,-1,-1,-1,1,2,1,1,1,1020,1,1
2,2,2,2,0,1,0,1,2,1,2,1,1082,1,1
1,2,2,2,1,0,0,1,2,1,3,1,999,1,1
2,2,1,1,1,1,1,1,1,1,4,1,931,1,1
1,1,2,2,1,1,1,1,2,1,5,0,1138,1,1
2,2,2,1,1,0,1,1,1,1,6,1,1228,0,1
2,1,2,2,0,1,1,1,2,1,7,1,798,1,1
1,1,1,1,1,0,1,1,1,1,8,0,1215,1,1
2,2,2,2,1,0,1,1,2,1,9,0,1216,1,1
1,1,2,2,1,0,0,1,2,1,10,1,1369,1,1
1,1,2,2,0,0,0,1,2,1,11,1,969,1,1
2,2,2,1,1,1,1,1,1,1,12,1,1115,0,1
1,2,2,2,1,0,1,1,2,1,13,1,941,1,1
2,1,1,2,1,1,0,1,2,1,14,1,1024,0,1
1,2,2,2,1,1,0,1,2,1,15,1,802,1,1
2,1,1,1,1,1,1,1,1,1,16,1,1080,1,1
1,1,2,1,1,1,1,1,2,1,17,1,1018,0,1
1,2,1,2,0,1,1,1,1,1,18,0,1294,0,1
2,1,2,2,1,1,1,1,2,1,19,1,1062,1,1
1,2,2,1,1,1,0,1,2,1,20,1,991,0,1
2,1,2,1,1,0,1,1,1,1,21,1,818,0,1
2,1,1,1,0,0,0,1,1,1,22,0,1113,1,1
2,2,1,1,0,1,0,1,1,1,23,1,967,1,1
1,1,1,1,1,1,0,1,1,1,24,0,1357,1,1
2,2,1,1,1,1,0,1,1,1,25,1,1033,1,1
1,1,1,1,1,0,0,1,1,1,26,0,1295,1,1
2,2,2,2,1,0,1,1,2,1,27,1,1219,1,1
1,1,1,1,1,0,1,1,1,1,28,0,1281,1,1
2,1,2,2,1,0,1,1,2,1,29,0,1130,1,1
2,2,2,2,0,1,0,1,2,1,30,1,1085,1,1
1,2,2,2,1,1,0,1,2,1,31,0,981,1,1
2,1,1,1,1,1,1,1,1,1,32,1,991,1,1
1,1,1,2,1,0,0,1,1,1,33,-1,-1,0,1
2,1,1,2,1,0,1,1,2,1,34,1,1238,0,1
1,2,2,2,1,1,0,1,2,1,35,1,976,1,1
2,2,1,1,1,1,1,1,1,1,36,1,1133,1,1
1,1,1,2,1,1,0,1,1,1,37,1,1249,0,1
1,2,1,1,0,1,0,1,1,1,38,0,1004,1,1
1,2,2,1,0,0,1,1,2,1,39,0,1283,0,1
2,1,2,2,1,0,0,1,2,1,40,1,1472,1,1
1,2,1,1,1,1,1,1,1,1,41,1,1124,1,1
1,2,1,1,0,0,0,1,1,1,42,1,1252,1,1
2,2,1,1,1,1,0,1,1,1,43,1,1318,1,1
1,1,1,2,1,1,0,1,1,1,44,0,1075,0,1
2,1,1,2,1,1,1,1,2,1,45,1,1302,0,1
2,2,2,1,0,1,1,1,1,1,46,1,750,0,1
1,1,1,2,1,0,0,1,1,1,47,1,1372,0,1
2,1,2,2,1,1,1,1,2,1,48,1,924,1,1
1,2,1,1,1,1,1,1,1,1,49,1,1176,1,1
1,1,1,1,0,1,0,1,1,1,50,0,1213,1,1
2,1,1,1,1,1,0,1,1,1,51,1,1083,1,1
1,1,1,1,1,0,0,1,1,1,52,1,1001,1,1
2,1,1,2,1,1,1,1,2,1,53,1,1359,0,1
1,2,1,2,1,0,1,1,1,1,54,1,1160,0,1
2,1,2,2,1,0,1,1,2,1,55,1,859,1,1
1,1,2,2,1,1,0,1,2,1,56,-1,-1,1,1
2,2,2,1,1,1,1,1,1,1,57,1,1188,0,1
2,1,2,2,0,1,1,1,2,1,58,1,1141,1,1
1,2,2,2,1,1,0,1,2,1,59,0,1231,1,1
2,2,1,2,1,1,0,1,2,1,60,0,916,0,1
2,1,2,1,0,1,1,1,1,1,61,1,1094,0,1
1,1,1,2,1,0,0,1,1,1,62,1,1171,0,1
2,1,2,2,1,0,1,1,2,1,63,1,1404,1,1
1,1,2,2,1,1,0,1,2,1,64,1,1281,1,1
2,2,1,1,1,0,1,1,1,1,65,0,1241,1,1
1,1,1,1,1,1,0,1,1,1,66,1,1135,1,1
2,2,2,1,1,0,0,1,1,1,67,1,1061,0,1
2,2,2,2,0,0,1,1,2,1,68,1,1306,1,1
1,2,2,1,1,1,0,1,2,1,69,1,1218,0,1
2,1,2,2,1,0,0,1,2,1,70,1,871,1,1
2,2,1,1,0,1,1,1,1,1,71,1,756,1,1
1,2,2,2,1,0,1,1,2,1,72,1,1473,1,1
2,2,1,1,1,1,1,1,1,1,73,0,834,1,1
1,2,1,1,1,0,0,1,1,1,74,1,826,1,1
1,2,1,1,0,0,0,1,1,1,75,1,671,1,1
2,2,2,2,1,0,1,1,2,1,76,0,1395,1,1
2,2,2,1,0,0,1,1,1,1,77,1,1035,0,1
1,2,2,2,1,0,1,1,2,1,78,0,1128,1,1
2,2,1,1,1,0,1,1,1,1,79,1,795,1,1
1,2,1,1,1,1,0,1,1,1,80,1,956,1,1
2,2,1,1,1,1,0,1,1,1,81,1,989,1,1
1,1,2,2,1,0,1,1,2,1,82,1,1358,1,1
1,1,1,2,0,0,1,1,1,1,83,1,940,0,1
2,1,2,2,1,0,1,1,2,1,84,0,1240,1,1
1,2,1,1,1,1,1,1,1,1,85,1,1225,1,1
2,1,1,1,1,1,0,1,1,1,86,0,1170,1,1
2,1,1,1,0,0,0,1,1,1,87,1,1232,1,1
1,2,2,2,1,0,1,1,2,1,88,0,1002,1,1
1,1,1,2,0,1,1,1,1,1,89,0,1002,0,1
2,2,1,1,1,0,0,1,1,1,90,0,986,1,1
1,1,1,1,1,0,0,1,1,1,91,1,1207,1,1
2,1,2,2,1,0,1,1,2,1,92,-1,-1,1,1
1,2,2,2,1,0,0,1,2,1,93,0,1208,1,1
2,2,2,2,1,0,0,1,2,1,94,1,1351,1,1
1,1,2,2,1,1,0,1,2,1,95,0,1398,1,1
1,1,1,1,0,0,1,1,1,1,96,1,1124,1,1
2,2,1,2,1,0,1,1,2,1,97,1,905,0,1
1,1,1,1,1,1,1,1,1,1,98,1,907,1,1
2,2,2,2,1,0,1,1,2,1,99,1,799,1,1
1,2,1,2,1,0,1,1,1,1,100,1,1422,0,1
2,2,2,2,1,0,1,1,2,1,101,1,1304,1,1
1,2,1,1,1,0,1,1,1,1,102,0,934,1,1
2,2,1,1,1,1,0,1,1,1,103,0,1356,1,1
2,2,1,1,0,0,0,1,1,1,104,1,1146,1,1
1,2,2,1,1,0,1,1,2,1,105,0,1125,0,1
2,1,1,1,1,1,1,1,1,1,106,0,1364,1,1
1,2,2,2,1,0,1,1,2,1,107,1,903,1,1
1,2,1,1,0,0,1,1,1,1,108,1,844,1,1
1,1,2,2,0,1,1,1,2,1,109,1,804,1,1
2,1,2,2,1,1,0,1,2,1,110,1,956,1,1
1,2,2,1,1,1,0,1,2,1,111,1,1076,0,1
2,1,2,2,1,0,0,1,2,1,112,1,948,1,1
1,1,1,1,1,0,1,1,1,1,113,0,960,1,1
1,2,2,2,0,1,1,1,2,1,114,1,1094,1,1
2,1,2,2,1,0,0,1,2,1,115,1,1099,1,1
2,1,2,2,0,0,0,1,2,1,116,1,906,1,1
1,1,2,2,1,1,0,1,2,1,117,1,1069,1,1
2,2,2,2,1,1,0,1,2,1,118,1,1345,1,1
1,2,1,1,1,1,1,1,1,1,119,1,923,1,1
2,1,2,2,1,1,1,1,2,1,120,0,1150,1,1
1,1,2,2,1,1,0,1,2,1,121,0,1316,1,1
1,1,1,1,0,0,1,1,1,1,122,1,954,1,1
1,2,1,1,0,1,0,1,1,1,123,0,1343,1,1
1,1,1,1,0,1,0,1,1,1,124,1,751,1,1
2,1,1,2,1,0,1,1,2,1,125,1,878,0,1
1,1,2,2,1,0,0,1,2,1,126,0,1424,1,1
2,2,2,2,1,1,0,1,2,1,127,1,1196,1,1
2,2,2,2,0,0,0,1,2,1,128,1,898,1,1
2,1,2,2,0,1,0,1,2,1,129,1,946,1,1
2,1,2,1,0,0,1,1,1,1,130,1,1144,0,1
1,2,1,2,-1,-1,-1,1,1,1,131,1,942,0,1
2,1,2,2,1,1,1,1,2,1,132,1,1119,1,1
2,2,1,1,0,1,1,1,1,1,133,1,785,1,1
1,2,2,2,1,0,1,1,2,1,134,1,715,1,1
2,1,2,2,1,1,0,1,2,1,135,1,793,1,1
1,1,2,2,1,0,0,1,2,1,136,0,776,1,1
1,1,1,2,0,0,1,1,1,1,137,1,986,0,1
2,2,2,2,1,0,1,1,2,1,138,1,1034,1,1
1,2,2,2,1,1,0,1,2,1,139,0,1108,1,1
2,2,2,2,1,0,0,1,2,1,140,0,1273,1,1
2,1,2,2,0,1,0,1,2,1,141,1,1408,1,1
1,1,1,1,1,1,1,1,1,1,142,1,1020,1,1
2,2,1,1,1,0,0,1,1,1,143,0,949,1,1
1,2,1,2,1,0,0,1,1,1,144,1,1093,0,1
2,1,1,2,1,1,1,1,2,1,145,1,965,0,1
2,1,1,1,0,0,1,1,1,1,146,1,930,1,1
