Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
2,1,1,2,-1,-1,-1,1,2,1,1,1,928,0,1
2,2,1,2,0,1,0,1,2,1,2,1,1177,0,1
1,1,1,2,1,0,1,1,1,1,3,1,959,0,1
2,1,2,2,1,1,1,1,2,1,4,1,1093,1,1
1,1,1,1,1,0,1,1,1,1,5,1,792,1,1
2,1,1,1,1,0,0,1,1,1,6,1,759,1,1
1,2,2,2,1,1,1,1,2,1,7,1,1043,1,1
1,1,1,1,0,1,1,1,1,1,8,1,809,1,1
2,1,2,2,1,0,1,1,2,1,9,1,862,1,1
1,1,1,1,1,0,1,1,1,1,10,1,761,1,1
2,1,2,2,1,0,1,1,2,1,11,1,828,1,1
1,2,2,2,1,1,0,1,2,1,12,0,884,1,1
2,2,1,1,1,0,1,1,1,1,13,1,768,1,1
1,1,1,1,1,1,0,1,1,1,14,1,774,1,1
1,1,2,1,0,0,1,1,2,1,15,0,1085,0,1
2,1,2,1,1,1,1,1,1,1,16,1,926,0,1
1,1,2,2,1,1,1,1,2,1,17,1,1127,1,1
2,2,2,2,1,0,0,1,2,1,18,0,1308,1,1
1,1,1,1,1,0,1,1,1,1,19,-1,-1,1,1
2,2,1,1,1,1,0,1,1,1,20,1,976,1,1
1,1,1,1,1,0,0,1,1,1,21,1,994,1,1
1,2,1,1,0,1,0,1,1,1,22,1,857,1,1
2,1,2,2,1,0,1,1,2,1,23,1,861,1,1
1,2,1,2,1,0,1,1,1,1,24,1,797,0,1
2,1,2,2,1,1,1,1,2,1,25,1,791,1,1
1,1,1,2,1,1,1,1,1,1,26,1,659,0,1
2,1,1,2,1,0,1,1,2,1,27,1,826,0,1
2,2,2,1,0,1,1,1,1,1,28,1,1344,0,1
1,2,2,2,1,1,1,1,2,1,29,0,1110,1,1
1,2,1,1,0,0,1,1,1,1,30,0,1044,1,1
2,2,2,1,1,1,0,1,1,1,31,1,648,0,1
2,1,2,1,0,1,0,1,1,1,32,1,725,0,1
1,2,1,1,1,0,0,1,1,1,33,0,876,1,1
