Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
1,1,1,2,-1,-1,-1,1,1,1,1,-1,-1,0,0
1,1,2,2,0,0,1,1,2,1,2,1,906,1,0
2,2,1,1,1,1,1,1,1,1,3,1,767,1,0
2,2,1,1,0,0,0,1,1,1,4,1,596,1,0
2,2,2,1,0,0,0,1,1,1,5,1,549,0,0
2,1,1,1,0,1,0,1,1,1,6,1,667,1,0
2,2,2,2,0,1,1,1,2,1,7,1,681,1,0
2,2,2,2,0,0,0,1,2,1,8,1,505,1,0
1,1,2,2,1,1,0,1,2,1,9,1,842,1,0
2,1,1,1,1,1,1,1,1,1,10,1,513,1,0
1,2,1,1,1,0,0,1,1,1,11,1,1129,1,0
2,1,1,1,1,1,0,1,1,1,12,1,1458,1,0
2,1,2,2,0,0,1,1,2,1,13,1,1208,1,0
1,1,2,2,1,1,0,1,2,1,14,1,728,1,0
2,2,2,2,1,1,0,1,2,1,15,1,619,1,0
2,2,2,2,0,0,0,1,2,1,16,1,573,1,0
2,2,1,1,0,0,1,1,1,1,17,1,876,1,0
2,1,2,2,0,1,1,1,2,1,18,1,989,1,0
2,1,1,1,0,0,1,1,1,1,19,1,771,1,0
2,1,2,2,0,0,1,1,2,1,20,1,731,1,0
2,1,1,1,0,0,1,1,1,1,21,1,760,1,0
2,2,2,2,0,1,1,1,2,1,22,1,725,1,0
1,2,1,1,1,1,1,1,1,1,23,1,795,1,0
1,2,2,2,0,0,1,1,2,1,24,1,855,1,0
1,2,2,2,0,0,0,1,2,1,25,1,946,1,0
2,2,2,2,1,0,0,1,2,1,26,1,893,1,0
2,1,1,1,0,1,1,1,1,1,27,-1,-1,1,0
2,2,2,2,0,1,1,1,2,1,28,1,912,1,0
1,2,2,1,1,0,0,1,2,1,29,1,1207,0,0
1,2,2,2,0,0,0,1,2,1,30,1,858,1,0
1,1,1,1,0,1,1,1,1,1,31,1,815,1,0
1,1,2,2,0,0,1,1,2,1,32,1,509,1,0
1,2,1,1,0,1,1,1,1,1,33,1,622,1,0
1,1,1,1,0,1,0,1,1,1,34,1,606,1,0
2,2,2,2,1,1,1,1,2,1,35,1,860,1,0
2,2,2,2,0,0,0,1,2,1,36,1,587,1,0
2,1,1,1,0,1,1,1,1,1,37,1,659,1,0
1,1,2,2,1,0,1,1,2,1,38,1,566,1,0
1,2,2,1,0,1,0,1,2,1,39,1,555,0,0
1,2,2,2,0,0,0,1,2,1,40,1,611,1,0
2,1,1,2,1,0,0,1,2,1,41,0,742,0,0
2,1,2,2,0,0,0,1,2,1,42,1,912,1,0
2,2,2,2,0,1,0,1,2,1,43,1,574,1,0
1,2,2,2,1,1,0,1,2,1,44,1,546,1,0
2,1,2,2,1,0,0,1,2,1,45,1,1061,1,0
1,2,1,1,1,1,1,1,1,1,46,1,590,1,0
1,2,1,1,0,0,0,1,1,1,47,1,723,1,0
1,1,1,1,0,1,0,1,1,1,48,1,696,1,0
