Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
1,1,1,1,-1,-1,-1,1,1,1,1,1,909,1,1
1,2,1,2,0,1,0,1,1,1,2,1,1010,0,1
2,2,1,1,1,1,0,1,1,1,3,1,889,1,1
1,1,1,1,1,1,0,1,1,1,4,0,830,1,1
2,2,1,2,1,0,1,1,2,1,5,1,734,0,1
2,2,1,1,0,0,1,1,1,1,6,1,563,1,1
1,1,1,1,1,0,0,1,1,1,7,0,1437,1,1
2,1,2,1,1,0,0,1,1,1,8,0,817,0,1
1,2,1,1,1,0,0,1,1,1,9,0,1200,1,1
2,2,1,1,1,1,0,1,1,1,10,1,867,1,1
1,1,2,2,1,0,1,1,2,1,11,1,748,1,1
1,1,2,2,0,0,0,1,2,1,12,1,664,1,1
2,2,2,2,1,1,0,1,2,1,13,1,898,1,1
1,2,1,2,1,1,1,1,1,1,14,1,812,0,1
1,2,1,2,0,0,0,1,1,1,15,1,678,0,1
2,1,2,2,1,0,1,1,2,1,16,1,1107,1,1
1,2,1,1,1,0,1,1,1,1,17,1,733,1,1
2,1,1,1,1,1,0,1,1,1,18,1,801,1,1
1,1,1,1,1,1,0,1,1,1,19,1,1169,1,1
2,1,1,1,1,1,0,1,1,1,20,1,684,1,1
2,1,1,1,0,0,0,1,1,1,21,1,695,1,1
1,1,2,2,1,1,1,1,2,1,22,1,913,1,1
2,2,1,1,1,1,1,1,1,1,23,1,681,1,1
1,2,2,2,1,1,1,1,2,1,24,1,746,1,1
2,1,2,1,1,0,1,1,1,1,25,1,706,0,1
1,1,1,1,1,0,0,1,1,1,26,1,833,1,1
1,1,2,2,0,0,1,1,2,1,27,1,814,1,1
2,1,1,1,1,1,1,1,1,1,28,1,928,1,1
1,2,2,2,1,1,1,1,2,1,29,1,762,1,1
2,2,2,2,1,0,0,1,2,1,30,1,894,1,1
1,2,2,2,1,0,0,1,2,1,31,1,835,1,1
2,1,1,1,1,1,1,1,1,1,32,1,599,1,1
1,1,1,1,1,1,0,1,1,1,33,0,1315,1,1
2,1,1,1,1,1,0,1,1,1,34,1,1010,1,1
2,2,1,1,0,1,0,1,1,1,35,1,736,1,1
1,1,2,1,1,0,1,1,2,1,36,1,666,0,1
2,1,2,2,1,0,0,1,2,1,37,1,842,1,1
1,2,1,1,1,0,1,1,1,1,38,0,1270,1,1
2,1,2,2,1,0,1,1,2,1,39,1,1209,1,1
2,2,1,2,0,1,0,1,2,1,40,1,647,0,1
1,2,1,1,1,1,1,1,1,1,41,1,1127,1,1
2,1,2,2,1,0,1,1,2,1,42,1,665,1,1
1,2,2,2,1,1,0,1,2,1,43,1,700,1,1
2,2,2,2,1,0,0,1,2,1,44,1,627,1,1
1,2,2,2,1,0,0,1,2,1,45,1,690,1,1
2,1,1,1,1,1,1,1,1,1,46,1,1293,1,1
1,1,1,1,1,1,0,1,1,1,47,1,949,1,1
1,2,1,1,0,1,0,1,1,1,48,1,1102,1,1
1,2,2,2,0,0,1,1,2,1,49,1,791,1,1
2,2,2,1,1,1,1,1,1,1,50,1,879,0,1
1,1,1,1,1,0,0,1,1,1,51,1,1321,1,1
2,2,2,1,1,0,0,1,1,1,52,1,1033,0,1
1,1,1,2,1,1,0,1,1,1,53,0,794,0,1
2,1,1,2,1,1,1,1,2,1,54,1,693,0,1
2,1,1,1,0,0,1,1,1,1,55,1,1040,1,1
1,1,1,1,1,0,0,1,1,1,56,1,841,1,1
2,1,1,1,1,1,0,1,1,1,57,1,875,1,1
1,2,1,1,1,1,0,1,1,1,58,1,1503,1,1
2,2,2,2,1,1,1,1,2,1,59,1,649,1,1
2,1,2,2,0,1,0,1,2,1,60,1,750,1,1
2,1,2,2,0,0,0,1,2,1,61,1,737,1,1
1,2,1,2,1,0,1,1,1,1,62,1,745,0,1
2,1,2,2,1,0,1,1,2,1,63,1,1114,1,1
1,1,1,1,1,0,1,1,1,1,64,1,673,1,1
2,2,1,2,1,1,1,1,2,1,65,1,665,0,1
1,2,2,1,1,0,0,1,2,1,66,0,593,0,1
1,2,2,2,0,0,0,1,2,1,67,1,745,1,1
2,2,2,2,1,1,0,1,2,1,68,1,645,1,1
1,1,1,1,1,1,1,1,1,1,69,1,968,1,1
2,1,2,1,1,1,0,1,1,1,70,0,1072,0,1
1,2,2,2,1,1,1,1,2,1,71,1,613,1,1
1,1,2,1,0,1,0,1,2,1,72,1,1422,0,1
2,2,1,1,1,0,1,1,1,1,73,1,698,1,1
1,2,2,2,1,0,1,1,2,1,74,1,791,1,1
2,2,2,1,1,1,1,1,1,1,75,1,843,0,1
1,2,2,1,1,1,1,1,2,1,76,1,805,0,1
2,2,1,1,1,0,1,1,1,1,77,1,918,1,1
1,1,1,2,1,1,0,1,1,1,78,0,1002,0,1
2,1,2,1,1,1,0,1,1,1,79,1,1319,0,1
2,2,1,1,0,1,0,1,1,1,80,1,1083,1,1
2,1,2,2,0,1,1,1,2,1,81,1,1141,1,1
1,1,1,1,1,0,1,1,1,1,82,1,682,1,1
2,1,2,2,1,0,1,1,2,1,83,1,753,1,1
1,2,1,2,1,1,1,1,1,1,84,1,905,0,1
1,1,2,2,0,1,1,1,2,1,85,1,1195,1,1
2,2,2,2,1,0,0,1,2,1,86,1,632,1,1
1,2,2,2,1,1,0,1,2,1,87,1,957,1,1
2,2,2,2,1,0,0,1,2,1,88,1,631,1,1
1,1,1,1,1,1,1,1,1,1,89,1,822,1,1
1,2,2,2,0,1,1,1,2,1,90,1,717,1,1
2,2,1,1,1,1,1,1,1,1,91,1,618,1,1
2,2,2,2,0,0,1,1,2,1,92,1,741,1,1
1,1,2,2,1,1,0,1,2,1,93,1,741,1,1
1,1,1,1,0,0,1,1,1,1,94,1,1300,1,1
2,1,1,1,1,1,0,1,1,1,95,1,1062,1,1
2,1,1,2,0,0,1,1,2,1,96,1,675,0,1
1,2,1,2,1,0,1,1,1,1,97,1,1133,0,1
2,2,2,2,1,0,1,1,2,1,98,1,695,1,1
1,1,1,2,1,0,1,1,1,1,99,0,782,0,1
1,1,2,1,0,0,1,1,2,1,100,1,681,0,1
2,2,1,1,1,1,1,1,1,1,101,1,781,1,1
2,1,2,1,0,1,0,1,1,1,102,1,878,0,1
1,1,2,2,1,0,1,1,2,1,103,1,1333,1,1
2,2,2,2,1,0,0,1,2,1,104,1,1390,1,1
2,2,1,1,0,0,1,1,1,1,105,1,671,1,1
2,2,2,1,0,0,0,1,1,1,106,1,1284,0,1
1,1,2,1,1,1,1,1,2,1,107,0,1272,0,1
1,2,2,1,0,1,0,1,2,1,108,1,1061,0,1
1,2,1,1,0,0,1,1,1,1,109,0,975,1,1
2,2,1,1,1,1,0,1,1,1,110,1,826,1,1
1,2,2,2,1,1,1,1,2,1,111,1,972,1,1
1,1,2,2,0,1,0,1,2,1,112,1,727,1,1
2,2,1,1,1,0,1,1,1,1,113,1,669,1,1
1,2,2,2,1,0,1,1,2,1,114,1,887,1,1
2,1,2,2,1,0,0,1,2,1,115,1,928,1,1
