Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
2,1,2,1,-1,-1,-1,1,1,1,1,0,817,0,1
2,2,2,2,0,1,1,1,2,1,2,0,768,1,1
2,1,1,1,0,1,1,1,1,1,3,0,234,1,1
1,1,1,2,1,1,0,1,1,1,4,0,866,0,1
2,2,1,1,1,1,0,1,1,1,5,0,151,1,1
1,1,1,2,1,1,0,1,1,1,6,1,657,0,1
2,2,2,2,1,0,1,1,2,1,7,0,459,1,1
1,2,1,2,1,0,1,1,1,1,8,0,612,0,1
1,1,2,2,0,1,1,1,2,1,9,0,931,1,1
2,1,2,2,1,1,0,1,2,1,10,1,595,1,1
2,1,2,1,0,0,1,1,1,1,11,0,727,0,1
2,1,1,1,0,0,0,1,1,1,12,1,631,1,1
1,1,1,1,1,1,0,1,1,1,13,0,798,1,1
1,2,2,2,0,1,1,1,2,1,14,1,775,1,1
2,1,2,2,1,0,0,1,2,1,15,1,746,1,1
1,1,2,2,1,1,0,1,2,1,16,1,882,1,1
2,2,1,2,1,1,0,1,2,1,17,0,777,0,1
1,2,1,1,1,1,1,1,1,1,18,1,746,1,1
1,1,1,1,0,1,0,1,1,1,19,0,1249,1,1
2,1,2,1,1,1,0,1,1,1,20,0,519,0,1
1,2,1,2,1,1,0,1,1,1,21,0,724,0,1
2,1,1,1,1,1,0,1,1,1,22,0,141,1,1
1,2,2,2,1,1,1,1,2,1,23,1,578,1,1
2,2,2,1,1,1,1,1,1,1,24,0,125,0,1
1,1,2,1,1,0,1,1,2,1,25,1,812,0,1
1,2,2,2,0,1,0,1,2,1,26,0,803,1,1
2,2,2,2,1,1,0,1,2,1,27,1,323,1,1
1,2,2,2,1,1,0,1,2,1,28,1,992,1,1
2,1,1,1,1,1,1,1,1,1,29,1,644,1,1
1,1,2,1,1,0,1,1,2,1,30,1,599,0,1
1,1,2,1,0,0,0,1,2,1,31,1,687,0,1
1,1,1,1,0,0,1,1,1,1,32,0,611,1,1
1,2,1,2,0,1,0,1,1,1,33,0,626,0,1
2,1,2,2,1,1,1,1,2,1,34,0,463,1,1
1,1,2,2,1,0,0,1,2,1,35,1,652,1,1
2,2,1,1,1,1,1,1,1,1,36,1,720,1,1
2,2,1,1,0,0,0,1,1,1,37,1,437,1,1
1,1,1,1,1,0,0,1,1,1,38,1,787,1,1
2,1,2,2,1,0,1,1,2,1,39,1,728,1,1
1,1,1,1,1,0,1,1,1,1,40,0,743,1,1
2,1,1,1,1,0,0,1,1,1,41,1,632,1,1
1,1,2,1,1,1,1,1,2,1,42,1,696,0,1
1,1,1,1,0,0,1,1,1,1,43,1,1427,1,1
2,2,1,1,1,0,0,1,1,1,44,1,546,1,1
1,2,2,1,1,1,1,1,2,1,45,0,738,0,1
2,1,2,1,1,0,1,1,1,1,46,0,603,0,1
2,2,1,2,0,1,1,1,2,1,47,0,619,0,1
2,2,1,2,0,0,0,1,2,1,48,0,741,0,1
1,2,2,2,1,0,0,1,2,1,49,1,817,1,1
1,2,1,2,0,0,1,1,1,1,50,0,616,0,1
2,1,1,1,1,0,0,1,1,1,51,1,787,1,1
2,1,1,1,0,0,0,1,1,1,52,0,896,1,1
1,2,2,2,1,0,1,1,2,1,53,1,775,1,1
2,1,1,1,1,0,1,1,1,1,54,1,696,1,1
1,2,1,1,1,1,0,1,1,1,55,0,767,1,1
2,2,1,1,1,1,0,1,1,1,56,1,550,1,1
1,2,1,1,1,0,0,1,1,1,57,0,803,1,1
1,2,1,1,0,0,0,1,1,1,58,1,1034,1,1
2,1,2,1,1,0,0,1,1,1,59,0,815,0,1
1,2,2,2,1,0,1,1,2,1,60,1,584,1,1
2,1,1,1,1,0,1,1,1,1,61,1,616,1,1
2,2,2,2,0,1,1,1,2,1,62,1,636,1,1
1,2,1,2,1,1,1,1,1,1,63,1,674,0,1
1,2,2,2,0,0,1,1,2,1,64,1,540,1,1
2,2,2,2,1,0,0,1,2,1,65,1,659,1,1
2,1,2,2,0,1,0,1,2,1,66,1,663,1,1
1,1,1,1,1,1,1,1,1,1,67,0,718,1,1
2,2,2,2,1,0,1,1,2,1,68,1,651,1,1
1,1,1,1,1,1,1,1,1,1,69,1,725,1,1
1,1,1,1,0,0,0,1,1,1,70,1,890,1,1
2,2,1,1,1,0,0,1,1,1,71,1,775,1,1
2,2,2,2,0,0,1,1,2,1,72,1,590,1,1
1,2,1,1,1,0,1,1,1,1,73,1,641,1,1
2,2,2,2,1,1,1,1,2,1,74,1,567,1,1
1,2,2,2,1,1,0,1,2,1,75,1,559,1,1
2,2,2,2,1,1,0,1,2,1,76,1,532,1,1
1,1,1,1,1,1,1,1,1,1,77,1,646,1,1
2,1,1,1,1,0,0,1,1,1,78,1,758,1,1
2,2,2,2,0,1,1,1,2,1,79,1,806,1,1
1,2,2,2,1,0,0,1,2,1,80,1,715,1,1
2,1,1,1,1,1,1,1,1,1,81,1,428,1,1
1,1,2,2,1,0,1,1,2,1,82,1,514,1,1
2,1,2,1,1,1,1,1,1,1,83,1,752,0,1
1,1,2,2,1,1,1,1,2,1,84,1,777,1,1
2,1,1,1,1,1,1,1,1,1,85,1,565,1,1
1,2,1,2,1,0,0,1,1,1,86,0,697,0,1
1,1,2,1,0,1,1,1,2,1,87,1,624,0,1
2,2,1,1,1,0,1,1,1,1,88,1,785,1,1
1,1,2,2,1,0,1,1,2,1,89,1,707,1,1
2,2,1,1,1,1,1,1,1,1,90,1,578,1,1
1,2,2,2,1,1,1,1,2,1,91,1,559,1,1
2,2,2,2,1,1,0,1,2,1,92,1,679,1,1
1,2,1,1,1,1,1,1,1,1,93,0,632,1,1
1,1,1,1,0,1,0,1,1,1,94,1,580,1,1
2,1,2,2,1,0,1,1,2,1,95,1,729,1,1
2,1,2,2,0,0,0,1,2,1,96,1,607,1,1
1,1,1,1,1,0,1,1,1,1,97,1,630,1,1
2,2,1,2,1,0,1,1,2,1,98,0,543,0,1
1,1,2,2,1,0,0,1,2,1,99,1,712,1,1
2,2,1,1,1,1,1,1,1,1,100,1,490,1,1
2,1,2,2,0,1,1,1,2,1,101,1,604,1,1
1,2,2,2,1,0,0,1,2,1,102,1,620,1,1
2,2,1,2,1,1,0,1,2,1,103,0,723,0,1
1,1,1,1,1,0,1,1,1,1,104,1,658,1,1
2,1,1,1,1,1,0,1,1,1,105,0,394,1,1
1,1,2,2,1,1,1,1,2,1,106,1,443,1,1
2,2,1,2,1,0,0,1,2,1,107,0,563,0,1
1,1,1,1,1,1,1,1,1,1,108,1,660,1,1
1,2,2,2,0,1,1,1,2,1,109,1,507,1,1
2,1,2,1,1,1,1,1,1,1,110,0,557,0,1
1,1,2,2,1,1,1,1,2,1,111,0,688,1,1
2,1,1,2,1,0,0,1,2,1,112,0,776,0,1
1,1,2,1,1,0,0,1,2,1,113,0,658,0,1
2,2,1,1,1,0,1,1,1,1,114,0,445,1,1
1,2,2,2,1,0,1,1,2,1,115,1,698,1,1
1,2,2,2,0,0,0,1,2,1,116,1,542,1,1
2,1,1,1,1,0,1,1,1,1,117,1,661,1,1
1,2,2,1,1,0,1,1,2,1,118,0,581,0,1
2,1,2,2,1,1,0,1,2,1,119,1,661,1,1
1,2,2,2,1,1,0,1,2,1,120,1,812,1,1
2,2,1,2,1,0,0,1,2,1,121,0,641,0,1
2,2,2,2,0,0,0,1,2,1,122,1,608,1,1
1,1,2,2,1,0,0,1,2,1,123,1,671,1,1
2,1,1,1,1,1,1,1,1,1,124,1,643,1,1
1,2,2,2,1,1,1,1,2,1,125,1,590,1,1
2,2,1,1,1,0,1,1,1,1,126,1,703,1,1
1,2,1,1,1,0,0,1,1,1,127,1,541,1,1
2,2,1,1,1,0,0,1,1,1,128,1,511,1,1
2,1,2,1,0,1,0,1,1,1,129,0,770,0,1
2,2,2,2,0,1,1,1,2,1,130,0,501,1,1
2,2,2,2,-1,-1,-1,1,2,1,131,1,725,1,1
2,2,2,1,0,0,1,1,1,1,132,1,1008,0,1
1,1,1,1,1,1,0,1,1,1,133,1,555,1,1
2,2,2,2,1,1,1,1,2,1,134,1,639,1,1
1,1,2,1,1,0,0,1,2,1,135,0,1041,0,1
1,1,2,1,0,0,0,1,2,1,136,0,756,0,1
2,2,1,2,1,0,0,1,2,1,137,1,961,0,1
2,1,2,1,0,1,1,1,1,1,138,1,677,0,1
1,2,2,2,1,0,1,1,2,1,139,0,646,1,1
2,1,2,2,1,1,0,1,2,1,140,1,577,1,1
1,2,2,2,1,0,0,1,2,1,141,1,568,1,1
2,2,1,1,1,1,1,1,1,1,142,1,536,1,1
1,2,2,2,1,1,1,1,2,1,143,0,669,1,1
2,1,2,1,1,1,1,1,1,1,144,1,649,0,1
1,1,1,1,1,1,0,1,1,1,145,1,731,1,1
1,2,2,2,0,1,1,1,2,1,146,0,708,1,1
2,2,1,2,1,0,0,1,2,1,147,1,1075,0,1
1,1,2,2,1,0,0,1,2,1,148,0,774,1,1
2,1,1,1,1,0,1,1,1,1,149,1,936,1,1
1,2,1,1,1,0,0,1,1,1,150,1,789,1,1
2,2,1,1,1,1,0,1,1,1,151,1,1236,1,1
1,1,2,2,1,1,1,1,2,1,152,1,552,1,1
1,1,1,1,0,0,1,1,1,1,153,1,408,1,1
2,2,1,1,1,0,0,1,1,1,154,1,531,1,1
2,2,1,1,0,0,0,1,1,1,155,1,539,1,1
1,2,2,2,1,0,1,1,2,1,156,1,575,1,1
1,1,1,1,0,1,1,1,1,1,157,1,474,1,1
2,1,2,2,1,0,1,1,2,1,158,0,641,1,1
2,1,2,1,0,0,1,1,1,1,159,1,691,0,1
1,1,2,2,1,1,1,1,2,1,160,1,725,1,1
2,1,1,1,1,0,1,1,1,1,161,1,622,1,1
1,2,2,1,1,0,1,1,2,1,162,0,1009,0,1
1,1,2,1,0,1,0,1,2,1,163,0,1025,0,1
2,2,2,2,1,1,0,1,2,1,164,1,724,1,1
1,1,2,2,1,1,0,1,2,1,165,1,673,1,1
2,2,1,1,1,0,1,1,1,1,166,1,523,1,1
1,1,1,1,1,0,0,1,1,1,167,1,753,1,1
1,1,1,1,0,0,0,1,1,1,168,1,714,1,1
2,1,2,1,1,1,0,1,1,1,169,1,533,0,1
1,1,2,1,1,0,1,1,2,1,170,0,513,0,1
2,1,1,1,1,1,1,1,1,1,171,0,362,1,1
1,2,2,2,1,1,1,1,2,1,172,1,889,1,1
2,1,1,1,1,0,1,1,1,1,173,1,618,1,1
1,1,1,1,1,1,0,1,1,1,174,1,777,1,1
2,1,1,1,1,1,0,1,1,1,175,1,590,1,1
2,2,2,2,0,1,1,1,2,1,176,1,746,1,1
1,2,2,2,1,0,0,1,2,1,177,1,768,1,1
1,2,1,1,0,0,1,1,1,1,178,1,525,1,1
2,1,1,1,1,1,0,1,1,1,179,1,628,1,1
1,1,2,2,1,0,1,1,2,1,180,1,538,1,1
2,1,1,1,1,0,1,1,1,1,181,1,391,1,1
1,2,2,2,1,1,1,1,2,1,182,0,563,1,1
1,2,2,2,0,0,0,1,2,1,183,1,652,1,1
1,2,2,2,0,0,0,1,2,1,184,1,618,1,1
2,1,1,1,1,0,1,1,1,1,185,1,581,1,1
1,2,1,2,1,0,0,1,1,1,186,0,561,0,1
