Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
2,2,2,2,-1,-1,-1,1,2,1,1,1,583,1,1
2,2,2,1,0,0,1,1,1,1,2,1,439,0,1
1,1,1,1,1,1,0,1,1,1,3,1,421,1,1
1,1,1,1,0,0,0,1,1,1,4,1,642,1,1
2,1,1,1,1,0,0,1,1,1,5,1,969,1,1
1,1,2,1,1,1,1,1,2,1,6,1,503,0,1
2,1,2,1,1,0,1,1,1,1,7,1,561,0,1
2,2,1,2,0,1,1,1,2,1,8,1,473,0,1
1,1,1,1,1,0,1,1,1,1,9,1,647,1,1
2,1,1,2,1,1,1,1,2,1,10,1,431,0,1
1,1,2,2,1,0,0,1,2,1,11,1,525,1,1
2,2,2,1,1,0,1,1,1,1,12,1,394,0,1
1,2,2,2,1,0,1,1,2,1,13,1,729,1,1
1,2,2,2,0,0,0,1,2,1,14,0,874,1,1
2,1,1,1,1,0,1,1,1,1,15,1,658,1,1
1,2,1,2,1,0,0,1,1,1,16,1,745,0,1
2,2,2,2,1,1,1,1,2,1,17,1,617,1,1
1,2,1,2,1,1,1,1,1,1,18,1,477,0,1
2,2,1,1,1,0,0,1,1,1,19,1,578,1,1
1,1,2,2,1,1,1,1,2,1,20,0,785,1,1
1,1,1,1,0,0,1,1,1,1,21,1,551,1,1
2,1,1,1,1,0,0,1,1,1,22,1,621,1,1
2,1,2,1,0,0,0,1,1,1,23,1,602,0,1
2,1,2,2,0,0,1,1,2,1,24,1,420,1,1
1,1,2,2,1,0,0,1,2,1,25,1,901,1,1
2,1,2,2,1,1,0,1,2,1,26,1,620,1,1
1,1,2,1,1,0,0,1,2,1,27,0,845,0,1
2,2,1,1,1,0,1,1,1,1,28,1,585,1,1
1,2,1,1,1,1,0,1,1,1,29,0,565,1,1
2,2,2,2,1,0,1,1,2,1,30,1,543,1,1
2,2,1,1,0,0,1,1,1,1,31,0,757,1,1
1,2,2,2,1,1,1,1,2,1,32,-1,-1,1,1
2,2,1,2,1,1,0,1,2,1,33,1,1016,0,1
1,2,1,1,1,1,1,1,1,1,34,1,583,1,1
2,1,2,2,1,1,1,1,2,1,35,1,819,1,1
2,2,1,1,0,1,1,1,1,1,36,1,688,1,1
1,1,2,2,1,1,1,1,2,1,37,0,656,1,1
2,2,2,1,1,1,1,1,1,1,38,0,780,0,1
1,1,2,2,1,1,1,1,2,1,39,1,694,1,1
2,2,1,1,1,1,1,1,1,1,40,1,513,1,1
1,1,1,2,1,0,0,1,1,1,41,1,597,0,1
2,2,1,1,1,1,0,1,1,1,42,1,512,1,1
2,2,2,2,0,0,1,1,2,1,43,1,413,1,1
2,2,2,2,0,0,0,1,2,1,44,1,520,1,1
1,2,1,1,1,1,1,1,1,1,45,1,433,1,1
2,1,1,2,1,0,1,1,2,1,46,0,725,0,1
1,1,1,1,1,0,1,1,1,1,47,1,659,1,1
2,2,1,2,1,0,1,1,2,1,48,1,1010,0,1
2,1,2,2,0,1,0,1,2,1,49,1,658,1,1
1,2,1,1,1,0,1,1,1,1,50,1,608,1,1
2,1,1,1,1,1,0,1,1,1,51,1,556,1,1
1,2,1,1,1,0,0,1,1,1,52,1,571,1,1
2,1,1,2,1,0,1,1,2,1,53,1,533,0,1
1,1,2,1,1,0,0,1,2,1,54,1,711,0,1
2,2,1,1,1,1,1,1,1,1,55,1,615,1,1
2,1,2,2,0,1,1,1,2,1,56,1,616,1,1
2,1,1,1,0,0,1,1,1,1,57,1,390,1,1
2,2,2,2,0,1,1,1,2,1,58,1,459,1,1
1,2,2,2,1,0,0,1,2,1,59,1,763,1,1
1,2,1,2,0,0,1,1,1,1,60,1,613,0,1
2,1,1,1,1,1,0,1,1,1,61,1,539,1,1
1,1,2,2,1,1,1,1,2,1,62,1,619,1,1
2,1,2,1,1,1,1,1,1,1,63,1,550,0,1
1,1,2,2,1,0,1,1,2,1,64,0,589,1,1
2,1,1,1,1,1,1,1,1,1,65,1,583,1,1
1,2,1,1,1,0,0,1,1,1,66,1,779,1,1
1,1,2,2,0,1,1,1,2,1,67,1,581,1,1
2,2,1,2,1,1,0,1,2,1,68,1,889,0,1
1,2,1,1,1,1,1,1,1,1,69,1,571,1,1
2,1,1,1,1,1,0,1,1,1,70,1,637,1,1
1,2,2,2,1,1,1,1,2,1,71,1,670,1,1
1,2,2,2,0,0,0,1,2,1,72,1,862,1,1
2,1,2,2,1,1,0,1,2,1,73,1,454,1,1
1,1,1,2,1,1,1,1,1,1,74,0,970,0,1
2,2,2,2,1,0,1,1,2,1,75,1,557,1,1
2,1,2,1,0,1,1,1,1,1,76,1,379,0,1
1,1,2,2,1,1,1,1,2,1,77,1,628,1,1
2,2,2,2,1,1,0,1,2,1,78,1,512,1,1
1,2,2,2,1,1,0,1,2,1,79,1,574,1,1
1,2,1,1,0,0,1,1,1,1,80,1,533,1,1
2,1,1,1,1,1,0,1,1,1,81,0,353,1,1
1,1,1,1,1,0,0,1,1,1,82,1,551,1,1
2,2,1,1,1,0,0,1,1,1,83,1,623,1,1
1,2,1,2,1,1,0,1,1,1,84,1,656,0,1
1,1,2,2,0,1,1,1,2,1,85,1,684,1,1
2,1,1,1,1,0,1,1,1,1,86,1,640,1,1
1,2,2,2,1,0,1,1,2,1,87,1,888,1,1
2,2,1,1,1,0,1,1,1,1,88,0,814,1,1
1,2,1,2,1,0,0,1,1,1,89,0,832,0,1
2,2,2,2,1,1,1,1,2,1,90,1,576,1,1
1,1,2,2,1,0,0,1,2,1,91,1,800,1,1
1,1,2,1,0,0,0,1,2,1,92,0,1168,0,1
2,1,2,2,1,0,0,1,2,1,93,1,759,1,1
1,2,2,1,1,1,0,1,2,1,94,1,909,0,1
2,2,1,1,1,1,1,1,1,1,95,1,1028,1,1
1,2,2,1,1,0,1,1,2,1,96,1,569,0,1
2,1,2,2,1,0,0,1,2,1,97,1,896,1,1
2,1,2,2,0,0,0,1,2,1,98,1,383,1,1
1,2,1,1,1,1,1,1,1,1,99,1,714,1,1
1,1,1,1,0,1,0,1,1,1,100,1,763,1,1
1,2,1,1,0,1,0,1,1,1,101,1,481,1,1
2,1,1,1,1,0,0,1,1,1,102,1,465,1,1
1,2,2,2,1,0,1,1,2,1,103,1,534,1,1
2,1,1,2,1,1,0,1,2,1,104,1,982,0,1
1,2,2,2,1,0,0,1,2,1,105,1,567,1,1
2,1,1,1,1,1,1,1,1,1,106,1,480,1,1
1,1,2,2,1,1,1,1,2,1,107,1,483,1,1
1,2,2,2,0,1,0,1,2,1,108,1,536,1,1
2,2,2,2,1,0,0,1,2,1,109,1,537,1,1
1,1,2,2,1,0,0,1,2,1,110,1,517,1,1
2,1,1,1,1,0,1,1,1,1,111,1,582,1,1
1,2,1,1,1,0,0,1,1,1,112,1,623,1,1
1,1,2,1,0,1,1,1,2,1,113,1,650,0,1
2,1,2,2,1,0,0,1,2,1,114,1,740,1,1
2,2,2,2,0,1,0,1,2,1,115,1,382,1,1
1,1,2,2,1,1,0,1,2,1,116,0,617,1,1
2,2,2,2,1,1,0,1,2,1,117,1,477,1,1
2,2,1,2,0,0,0,1,2,1,118,1,502,0,1
1,1,1,1,1,1,1,1,1,1,119,1,521,1,1
1,1,2,2,0,0,1,1,2,1,120,1,640,1,1
2,2,1,1,1,0,1,1,1,1,121,1,601,1,1
1,1,2,1,1,1,1,1,2,1,122,1,670,0,1
1,2,2,2,0,1,0,1,2,1,123,1,802,1,1
2,2,1,1,1,1,1,1,1,1,124,1,565,1,1
2,1,2,2,0,1,1,1,2,1,125,1,495,1,1
1,1,1,1,1,0,1,1,1,1,126,0,930,1,1
1,2,2,1,0,1,1,1,2,1,127,1,895,0,1
2,2,1,1,1,0,1,1,1,1,128,1,588,1,1
1,2,2,2,1,1,1,1,2,1,129,1,678,1,1
2,2,2,1,1,0,1,1,1,1,130,1,566,0,1
2,2,2,2,-1,-1,-1,1,2,1,131,1,610,1,1
2,2,2,1,0,0,1,1,1,1,132,1,435,0,1
1,2,1,2,1,1,0,1,1,1,133,1,457,0,1
2,2,1,1,1,0,0,1,1,1,134,0,740,1,1
1,1,2,2,1,1,1,1,2,1,135,1,456,1,1
2,1,1,1,1,1,1,1,1,1,136,1,596,1,1
2,1,2,2,0,0,1,1,2,1,137,1,517,1,1
1,1,2,2,1,0,0,1,2,1,138,1,596,1,1
2,2,2,2,1,1,0,1,2,1,139,1,609,1,1
2,2,2,2,0,0,0,1,2,1,140,1,711,1,1
1,2,1,1,1,1,1,1,1,1,141,1,914,1,1
2,2,2,2,1,0,1,1,2,1,142,1,620,1,1
1,2,1,1,1,1,1,1,1,1,143,1,655,1,1
2,2,2,1,1,1,0,1,1,1,144,0,478,0,1
1,2,2,2,1,0,1,1,2,1,145,1,769,1,1
2,1,1,2,1,0,0,1,2,1,146,1,584,0,1
1,1,2,1,1,0,0,1,2,1,147,1,801,0,1
1,2,2,2,0,1,0,1,2,1,148,1,817,1,1
2,2,2,1,1,0,1,1,1,1,149,1,672,0,1
1,2,1,2,1,1,0,1,1,1,150,1,622,0,1
2,1,1,1,1,1,0,1,1,1,151,1,731,1,1
2,2,1,1,0,1,0,1,1,1,152,1,739,1,1
1,2,1,2,1,0,0,1,1,1,153,1,716,0,1
2,1,1,1,1,0,0,1,1,1,154,1,577,1,1
2,2,1,2,0,1,1,1,2,1,155,1,595,0,1
1,1,2,2,1,1,0,1,2,1,156,1,640,1,1
2,2,1,1,1,1,1,1,1,1,157,0,1038,1,1
1,1,1,1,1,1,0,1,1,1,158,1,578,1,1
