Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
2,2,1,1,-1,-1,-1,1,1,1,1,1,1009,1,1
1,1,2,2,1,1,1,1,2,1,2,1,660,1,1
1,2,1,1,0,1,1,1,1,1,3,1,872,1,1
2,1,1,2,1,0,1,1,2,1,4,1,935,0,1
1,2,1,1,1,0,1,1,1,1,5,1,889,1,1
2,2,2,2,1,1,1,1,2,1,6,1,1152,1,1
1,2,2,2,1,1,0,1,2,1,7,1,725,1,1
2,1,1,1,1,0,1,1,1,1,8,1,851,1,1
1,2,1,1,1,0,0,1,1,1,9,1,905,1,1
2,1,1,1,1,1,0,1,1,1,10,1,814,1,1
2,1,2,1,0,0,0,1,1,1,11,1,629,0,1
1,1,2,2,1,1,1,1,2,1,12,1,918,1,1
2,2,1,2,1,1,0,1,2,1,13,0,838,0,1
1,2,1,1,1,0,1,1,1,1,14,1,678,1,1
2,2,2,1,1,1,0,1,1,1,15,1,830,0,1
2,2,2,2,0,0,1,1,2,1,16,0,762,1,1
1,1,2,2,1,1,0,1,2,1,17,1,684,1,1
2,1,1,1,1,0,1,1,1,1,18,1,784,1,1
1,1,1,1,1,1,0,1,1,1,19,1,663,1,1
2,2,1,1,1,1,0,1,1,1,20,1,677,1,1
1,1,2,2,1,0,1,1,2,1,21,1,790,1,1
2,2,1,1,1,0,1,1,1,1,22,1,1252,1,1
1,2,2,2,1,1,1,1,2,1,23,1,846,1,1
1,2,1,1,0,0,1,1,1,1,24,1,796,1,1
2,2,2,2,1,0,1,1,2,1,25,1,904,1,1
1,1,2,2,1,1,0,1,2,1,26,1,642,1,1
2,2,1,1,1,0,1,1,1,1,27,1,864,1,1
1,2,2,1,1,0,1,1,2,1,28,1,628,0,1
2,1,2,1,1,1,1,1,1,1,29,1,634,0,1
1,2,1,2,1,0,0,1,1,1,30,0,673,0,1
2,1,2,2,1,1,1,1,2,1,31,0,996,1,1
2,1,1,1,0,0,1,1,1,1,32,1,690,1,1
1,2,1,2,1,1,0,1,1,1,33,0,728,0,1
2,1,2,2,1,1,1,1,2,1,34,1,877,1,1
1,2,1,2,1,1,1,1,1,1,35,0,710,0,1
1,1,2,2,0,1,1,1,2,1,36,0,1239,1,1
1,1,1,1,0,0,1,1,1,1,37,0,1063,1,1
1,1,2,2,0,0,1,1,2,1,38,1,883,1,1
2,1,2,1,1,0,1,1,1,1,39,1,657,0,1
1,1,2,2,1,1,1,1,2,1,40,1,750,1,1
2,2,1,1,1,0,1,1,1,1,41,1,960,1,1
1,1,1,1,1,0,0,1,1,1,42,1,854,1,1
2,2,1,1,1,1,0,1,1,1,43,1,678,1,1
2,2,2,1,0,0,0,1,1,1,44,1,900,0,1
2,2,1,1,0,0,0,1,1,1,45,1,729,1,1
1,2,1,1,1,0,0,1,1,1,46,1,895,1,1
2,1,1,1,1,0,0,1,1,1,47,1,630,1,1
1,2,1,2,1,1,0,1,1,1,48,1,1059,0,1
2,2,2,2,1,0,1,1,2,1,49,1,800,1,1
1,2,2,2,1,0,0,1,2,1,50,1,821,1,1
2,1,1,1,1,0,1,1,1,1,51,0,1131,1,1
1,1,1,1,1,0,0,1,1,1,52,1,759,1,1
