Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
1,2,1,2,-1,-1,-1,1,1,1,1,1,663,0,0
1,1,1,2,0,1,0,1,1,1,2,1,569,0,0
2,2,2,1,1,0,0,1,1,1,3,0,875,0,0
2,1,2,2,0,1,1,1,2,1,4,1,754,1,0
2,2,1,1,0,1,1,1,1,1,5,1,525,1,0
2,1,2,1,0,1,0,1,1,1,6,1,861,0,0
1,2,2,2,1,1,1,1,2,1,7,1,772,1,0
2,1,1,1,1,1,1,1,1,1,8,1,607,1,0
1,1,2,2,1,1,1,1,2,1,9,1,851,1,0
2,1,1,2,1,1,0,1,2,1,10,1,814,0,0
2,1,2,1,0,0,1,1,1,1,11,0,979,0,0
2,1,1,1,0,0,0,1,1,1,12,1,516,1,0
2,1,2,2,0,0,1,1,2,1,13,1,792,1,0
1,1,1,2,1,0,1,1,1,1,14,1,901,0,0
1,1,2,1,0,0,1,1,2,1,15,1,807,0,0
1,1,1,1,0,0,1,1,1,1,16,1,608,1,0
1,1,2,2,0,0,1,1,2,1,17,1,825,1,0
1,2,1,2,0,1,1,1,1,1,18,1,690,0,0
1,2,2,2,0,0,1,1,2,1,19,1,665,1,0
2,1,2,1,1,0,1,1,1,1,20,0,813,0,0
2,1,1,2,0,0,1,1,2,1,21,1,793,0,0
2,2,1,1,0,1,1,1,1,1,22,1,614,1,0
2,2,2,1,0,0,0,1,1,1,23,0,709,0,0
2,1,1,1,0,1,0,1,1,1,24,1,803,1,0
2,1,2,2,0,0,1,1,2,1,25,1,658,1,0
1,2,2,2,1,0,0,1,2,1,26,1,761,1,0
1,1,2,2,0,1,0,1,2,1,27,1,972,1,0
1,2,2,2,0,1,0,1,2,1,28,1,717,1,0
2,2,2,2,1,1,0,1,2,1,29,1,1352,1,0
2,1,2,2,0,1,0,1,2,1,30,1,920,1,0
2,2,2,2,0,1,0,1,2,1,31,1,775,1,0
2,1,1,2,0,1,0,1,2,1,32,1,1112,0,0
2,1,1,1,0,0,1,1,1,1,33,1,1051,1,0
2,2,1,1,0,1,0,1,1,1,34,1,978,1,0
2,2,1,2,0,0,1,1,2,1,35,1,890,0,0
1,2,1,1,1,0,1,1,1,1,36,1,833,1,0
1,1,2,2,0,1,1,1,2,1,37,1,766,1,0
1,2,1,1,0,1,1,1,1,1,38,1,723,1,0
1,2,2,2,0,0,1,1,2,1,39,1,766,1,0
1,1,2,2,0,1,0,1,2,1,40,1,798,1,0
2,1,2,2,1,1,0,1,2,1,41,0,1124,1,0
2,2,2,2,0,1,0,1,2,1,42,1,1056,1,0
2,2,1,1,0,0,1,1,1,1,43,1,1325,1,0
2,2,1,1,0,0,0,1,1,1,44,-1,-1,1,0
2,2,1,1,0,0,0,1,1,1,45,1,1453,1,0
2,1,1,1,0,1,0,1,1,1,46,0,1159,1,0
2,1,1,1,0,0,0,1,1,1,47,1,787,1,0
2,1,2,1,0,0,0,1,1,1,48,1,1183,0,0
1,1,1,1,1,0,0,1,1,1,49,1,974,1,0
2,1,1,1,1,0,0,1,1,1,50,1,698,1,0
2,2,2,1,0,1,0,1,1,1,51,1,1087,0,0
1,1,2,2,1,1,1,1,2,1,52,0,1069,1,0
1,2,1,1,0,1,1,1,1,1,53,1,643,1,0
1,1,1,1,0,1,0,1,1,1,54,1,646,1,0
1,2,2,1,0,1,1,1,2,1,55,1,843,0,0
2,1,1,1,1,0,1,1,1,1,56,1,760,1,0
2,1,1,1,0,0,0,1,1,1,57,1,726,1,0
1,1,1,1,1,0,0,1,1,1,58,1,737,1,0
1,2,2,2,0,1,1,1,2,1,59,1,843,1,0
1,1,1,1,0,1,1,1,1,1,60,1,733,1,0
1,1,1,2,0,0,0,1,1,1,61,1,794,0,0
1,2,2,2,0,1,1,1,2,1,62,1,797,1,0
1,2,2,2,0,0,0,1,2,1,63,0,833,1,0
1,2,2,2,0,0,0,1,2,1,64,1,842,1,0
2,2,1,1,1,0,1,1,1,1,65,1,997,1,0
2,1,2,2,0,1,1,1,2,1,66,1,717,1,0
2,2,2,1,0,1,1,1,1,1,67,1,1018,0,0
2,2,2,2,0,0,1,1,2,1,68,1,681,1,0
2,1,1,2,0,1,0,1,2,1,69,0,1061,0,0
2,2,2,1,0,1,1,1,1,1,70,1,821,0,0
1,2,1,1,1,1,0,1,1,1,71,1,809,1,0
1,1,1,1,0,1,0,1,1,1,72,0,1246,1,0
1,1,2,2,0,0,1,1,2,1,73,-1,-1,1,0
1,1,1,1,0,0,1,1,1,1,74,1,857,1,0
1,2,1,1,0,1,0,1,1,1,75,1,630,1,0
2,2,1,1,1,1,0,1,1,1,76,1,722,1,0
1,2,2,1,1,0,1,1,2,1,77,1,634,0,0
1,1,2,1,0,1,0,1,2,1,78,1,704,0,0
2,2,1,1,1,0,1,1,1,1,79,1,462,1,0
2,1,2,2,0,1,1,1,2,1,80,0,885,1,0
2,2,1,1,0,1,1,1,1,1,81,1,852,1,0
2,2,2,2,0,0,1,1,2,1,82,1,847,1,0
1,1,2,2,1,0,0,1,2,1,83,1,663,1,0
1,1,2,2,0,0,0,1,2,1,84,-1,-1,1,0
1,1,1,1,0,0,1,1,1,1,85,1,1131,1,0
1,2,1,1,0,1,0,1,1,1,86,1,801,1,0
1,1,1,1,0,1,0,1,1,1,87,1,579,1,0
1,1,2,2,0,0,1,1,2,1,88,1,657,1,0
2,2,1,1,1,0,1,1,1,1,89,1,890,1,0
2,2,2,2,0,0,1,1,2,1,90,1,952,1,0
2,2,1,1,0,0,1,1,1,1,91,1,821,1,0
2,1,2,2,0,1,1,1,2,1,92,1,784,1,0
1,2,2,2,1,1,0,1,2,1,93,1,634,1,0
1,2,1,2,0,0,1,1,1,1,94,1,627,0,0
1,2,2,1,0,0,1,1,2,1,95,1,605,0,0
1,1,1,2,0,1,1,1,1,1,96,1,655,0,0
1,1,2,2,0,0,1,1,2,1,97,1,483,1,0
1,2,2,2,0,1,0,1,2,1,98,0,1212,1,0
1,2,2,2,0,0,0,1,2,1,99,1,550,1,0
2,2,2,2,1,1,0,1,2,1,100,0,915,1,0
2,1,1,1,0,1,1,1,1,1,101,1,1041,1,0
2,1,1,1,0,0,0,1,1,1,102,1,720,1,0
1,1,1,2,1,1,0,1,1,1,103,1,618,0,0
1,2,2,2,0,1,1,1,2,1,104,1,543,1,0
1,1,1,2,0,1,1,1,1,1,105,1,543,0,0
1,1,1,2,0,0,0,1,1,1,106,1,564,0,0
1,2,2,1,0,1,1,1,2,1,107,1,697,0,0
2,2,2,1,1,1,1,1,1,1,108,0,608,0,0
1,2,1,1,1,0,0,1,1,1,109,1,633,1,0
1,2,2,2,0,0,1,1,2,1,110,1,748,1,0
1,1,2,2,0,1,0,1,2,1,111,1,685,1,0
2,1,1,1,1,1,1,1,1,1,112,1,821,1,0
2,2,2,2,0,1,1,1,2,1,113,1,805,1,0
2,2,2,2,0,0,0,1,2,1,114,0,902,1,0
1,2,2,1,1,1,0,1,2,1,115,1,594,0,0
1,2,2,2,0,0,0,1,2,1,116,1,637,1,0
1,2,2,2,0,0,0,1,2,1,117,1,664,1,0
1,2,2,1,0,0,0,1,2,1,118,1,785,0,0
1,2,2,2,0,0,0,1,2,1,119,1,827,1,0
1,1,2,2,0,1,0,1,2,1,120,1,714,1,0
2,1,2,2,1,0,0,1,2,1,121,1,1146,1,0
2,1,2,2,0,0,0,1,2,1,122,1,775,1,0
2,1,1,1,0,0,1,1,1,1,123,1,771,1,0
2,2,1,1,0,1,0,1,1,1,124,1,688,1,0
2,2,1,1,0,0,0,1,1,1,125,1,516,1,0
2,1,1,1,0,1,0,1,1,1,126,1,820,1,0
2,2,1,1,0,1,0,1,1,1,127,1,687,1,0
2,2,1,2,0,0,1,1,2,1,128,1,640,0,0
1,1,1,1,1,1,1,1,1,1,129,1,760,1,0
1,1,2,2,0,0,1,1,2,1,130,0,938,1,0
2,2,1,1,-1,-1,-1,1,1,1,131,1,1022,1,0
1,2,1,1,1,0,0,1,1,1,132,1,709,1,0
2,1,1,1,1,1,0,1,1,1,133,1,713,1,0
2,2,1,1,0,1,0,1,1,1,134,1,930,1,0
2,1,1,1,0,1,0,1,1,1,135,1,856,1,0
1,1,2,2,1,1,1,1,2,1,136,1,735,1,0
1,2,1,1,0,1,1,1,1,1,137,1,590,1,0
1,1,2,2,0,1,1,1,2,1,138,1,594,1,0
1,2,1,1,0,1,1,1,1,1,139,1,724,1,0
1,1,1,1,0,1,0,1,1,1,140,1,709,1,0
2,1,1,1,1,0,0,1,1,1,141,1,1044,1,0
