Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
1,2,2,2,-1,-1,-1,1,2,1,1,1,1445,1,1
1,1,1,2,0,1,1,1,1,1,2,1,1196,0,1
2,2,1,2,1,1,1,1,2,1,3,0,1149,0,1
1,2,2,2,1,0,0,1,2,1,4,1,1035,1,1
2,1,1,1,1,1,1,1,1,1,5,1,799,1,1
1,1,1,2,1,1,0,1,1,1,6,1,1191,0,1
2,2,1,1,1,0,0,1,1,1,7,1,1379,1,1
1,2,2,2,1,0,1,1,2,1,8,1,923,1,1
1,2,1,1,0,0,1,1,1,1,9,1,915,1,1
2,2,1,2,1,1,1,1,2,1,10,1,1440,0,1
1,1,1,1,1,0,1,1,1,1,11,1,1043,1,1
2,1,2,1,1,0,0,1,1,1,12,1,1322,0,1
1,2,2,2,1,0,1,1,2,1,13,1,811,1,1
2,1,1,1,1,1,1,1,1,1,14,1,803,1,1
1,2,2,1,1,1,1,1,2,1,15,1,1317,0,1
2,1,2,1,1,0,1,1,1,1,16,1,947,0,1
2,2,1,1,0,1,0,1,1,1,17,1,886,1,1
1,1,2,2,1,0,1,1,2,1,18,1,683,1,1
2,2,1,1,1,1,1,1,1,1,19,0,1031,1,1
1,1,2,2,1,0,1,1,2,1,20,0,891,1,1
2,1,1,1,1,1,1,1,1,1,21,1,742,1,1
1,1,2,2,1,0,1,1,2,1,22,1,895,1,1
2,1,1,1,1,0,1,1,1,1,23,1,852,1,1
1,2,1,1,1,0,0,1,1,1,24,1,991,1,1
1,1,2,1,0,1,1,1,2,1,25,1,866,0,1
2,2,2,2,1,1,0,1,2,1,26,0,1330,1,1
1,2,2,1,1,0,0,1,2,1,27,1,885,0,1
2,1,1,1,1,0,1,1,1,1,28,1,874,1,1
1,2,2,2,1,1,1,1,2,1,29,1,836,1,1
2,2,2,1,1,0,1,1,1,1,30,1,800,0,1
2,2,1,1,0,0,0,1,1,1,31,1,1110,1,1
1,1,2,2,1,0,1,1,2,1,32,1,1019,1,1
1,2,1,2,0,1,1,1,1,1,33,1,977,0,1
2,1,1,1,1,1,0,1,1,1,34,1,715,1,1
1,1,2,2,1,1,1,1,2,1,35,1,578,1,1
2,2,1,2,1,0,0,1,2,1,36,0,832,0,1
2,1,1,1,0,1,1,1,1,1,37,1,890,1,1
1,1,2,2,1,0,1,1,2,1,38,1,783,1,1
2,2,2,2,1,0,0,1,2,1,39,1,1196,1,1
1,2,1,2,1,1,1,1,1,1,40,1,959,0,1
2,1,2,2,1,0,1,1,2,1,41,1,794,1,1
1,1,2,1,1,0,0,1,2,1,42,0,957,0,1
2,1,1,2,1,1,0,1,2,1,43,0,943,0,1
1,2,2,2,1,1,0,1,2,1,44,1,806,1,1
1,2,2,2,0,0,0,1,2,1,45,1,646,1,1
2,1,2,1,1,1,1,1,1,1,46,1,844,0,1
1,1,1,1,1,1,0,1,1,1,47,0,1143,1,1
2,2,1,1,1,1,0,1,1,1,48,-1,-1,1,1
1,2,1,1,1,1,0,1,1,1,49,1,810,1,1
2,1,2,2,1,1,1,1,2,1,50,1,957,1,1
2,1,2,2,0,0,0,1,2,1,51,1,797,1,1
1,1,1,2,1,0,1,1,1,1,52,1,1009,0,1
2,2,2,2,1,1,1,1,2,1,53,1,1068,1,1
1,2,1,1,1,0,1,1,1,1,54,1,840,1,1
2,2,2,2,1,0,1,1,2,1,55,1,961,1,1
1,1,2,1,1,1,0,1,2,1,56,1,733,0,1
1,1,1,1,0,0,1,1,1,1,57,1,658,1,1
2,2,1,2,1,0,1,1,2,1,58,0,817,0,1
2,2,1,2,0,0,0,1,2,1,59,0,1156,0,1
1,1,2,2,1,1,0,1,2,1,60,1,768,1,1
1,2,2,2,0,1,0,1,2,1,61,1,928,1,1
2,2,1,1,1,1,1,1,1,1,62,1,955,1,1
1,1,2,1,1,1,1,1,2,1,63,1,764,0,1
2,1,1,1,1,1,1,1,1,1,64,0,1091,1,1
1,1,1,1,1,0,0,1,1,1,65,1,1258,1,1
2,2,2,2,1,1,1,1,2,1,66,1,936,1,1
1,1,1,1,1,1,1,1,1,1,67,1,674,1,1
1,1,1,1,0,0,0,1,1,1,68,1,1207,1,1
2,1,1,1,1,0,0,1,1,1,69,1,1111,1,1
1,1,1,1,1,1,0,1,1,1,70,1,1103,1,1
2,1,1,2,1,1,1,1,2,1,71,1,713,0,1
1,1,1,1,1,0,1,1,1,1,72,1,705,1,1
2,2,1,1,1,0,0,1,1,1,73,1,793,1,1
1,2,1,2,1,1,0,1,1,1,74,1,790,0,1
1,1,2,2,0,1,1,1,2,1,75,1,1236,1,1
1,1,2,2,0,0,0,1,2,1,76,1,905,1,1
2,2,1,1,1,0,1,1,1,1,77,0,817,1,1
1,1,1,2,1,0,0,1,1,1,78,1,737,0,1
2,2,2,2,1,1,1,1,2,1,79,1,837,1,1
2,1,2,2,0,1,0,1,2,1,80,1,905,1,1
2,2,2,2,0,1,0,1,2,1,81,1,975,1,1
1,2,1,2,1,0,1,1,1,1,82,1,805,0,1
2,1,2,2,1,1,1,1,2,1,83,1,895,1,1
1,2,1,1,1,0,1,1,1,1,84,1,662,1,1
2,2,1,1,1,0,0,1,1,1,85,0,1102,1,1
1,2,1,1,1,1,0,1,1,1,86,1,1075,1,1
2,2,2,1,1,1,0,1,1,1,87,0,1168,0,1
1,1,1,1,1,1,0,1,1,1,88,1,856,1,1
1,1,2,1,0,0,1,1,2,1,89,1,928,0,1
2,1,2,2,1,0,0,1,2,1,90,1,749,1,1
1,1,2,2,1,1,0,1,2,1,91,1,1093,1,1
2,1,2,2,1,1,0,1,2,1,92,1,1339,1,1
1,1,1,1,1,1,1,1,1,1,93,1,728,1,1
2,1,1,1,1,0,0,1,1,1,94,1,987,1,1
1,2,2,2,1,1,1,1,2,1,95,1,908,1,1
2,2,1,1,1,0,1,1,1,1,96,1,1061,1,1
2,2,1,1,0,0,0,1,1,1,97,1,1177,1,1
1,2,1,2,1,0,0,1,1,1,98,-1,-1,0,1
2,2,1,1,1,1,0,1,1,1,99,1,878,1,1
1,1,2,2,1,1,1,1,2,1,100,1,745,1,1
1,2,1,1,0,1,1,1,1,1,101,1,836,1,1
2,1,1,1,1,0,0,1,1,1,102,1,799,1,1
1,2,1,1,1,1,0,1,1,1,103,1,638,1,1
2,1,2,2,1,0,1,1,2,1,104,1,667,1,1
2,1,2,1,0,0,1,1,1,1,105,1,772,0,1
2,1,1,1,0,0,0,1,1,1,106,0,859,1,1
2,2,2,2,0,1,1,1,2,1,107,1,983,1,1
1,2,2,2,1,0,0,1,2,1,108,1,858,1,1
2,1,2,1,1,0,1,1,1,1,109,1,1255,0,1
1,2,1,1,1,0,0,1,1,1,110,1,674,1,1
2,1,1,1,1,1,0,1,1,1,111,1,734,1,1
1,2,1,1,1,0,0,1,1,1,112,1,637,1,1
2,2,1,1,1,0,0,1,1,1,113,1,750,1,1
1,1,1,1,1,0,0,1,1,1,114,1,717,1,1
1,2,1,1,0,1,0,1,1,1,115,1,679,1,1
1,2,1,1,0,0,0,1,1,1,116,1,732,1,1
1,1,1,1,0,1,0,1,1,1,117,1,601,1,1
2,1,2,2,1,0,1,1,2,1,118,1,882,1,1
1,2,1,1,1,1,1,1,1,1,119,1,682,1,1
1,2,1,2,0,0,0,1,1,1,120,1,649,0,1
2,2,2,2,1,1,1,1,2,1,121,1,634,1,1
2,1,1,2,0,1,0,1,2,1,122,1,1074,0,1
1,2,2,2,1,1,0,1,2,1,123,1,1100,1,1
1,1,1,1,0,1,1,1,1,1,124,1,713,1,1
2,2,2,2,1,0,1,1,2,1,125,1,629,1,1
2,1,1,1,0,1,1,1,1,1,126,1,843,1,1
2,1,2,2,0,0,1,1,2,1,127,0,771,1,1
2,2,1,2,0,1,0,1,2,1,128,1,977,0,1
2,2,2,2,0,0,0,1,2,1,129,1,674,1,1
1,2,1,1,1,1,1,1,1,1,130,1,794,1,1
2,1,2,1,-1,-1,-1,1,1,1,131,1,1118,0,1
2,1,1,2,0,0,1,1,2,1,132,1,787,0,1
2,1,1,1,0,0,1,1,1,1,133,1,968,1,1
1,1,1,1,1,1,0,1,1,1,134,1,643,1,1
2,1,1,2,1,1,1,1,2,1,135,0,995,0,1
1,2,2,2,1,1,0,1,2,1,136,1,637,1,1
2,1,2,2,1,0,0,1,2,1,137,1,1011,1,1
1,2,1,1,1,0,1,1,1,1,138,1,553,1,1
2,1,2,1,1,0,0,1,1,1,139,0,769,0,1
1,1,2,2,1,0,1,1,2,1,140,1,1069,1,1
1,1,1,1,0,0,1,1,1,1,141,1,487,1,1
2,1,2,2,1,1,1,1,2,1,142,1,770,1,1
1,2,2,2,1,1,0,1,2,1,143,0,860,1,1
2,2,1,1,1,0,1,1,1,1,144,1,1200,1,1
1,1,1,1,1,1,0,1,1,1,145,1,902,1,1
2,2,2,2,1,1,1,1,2,1,146,1,995,1,1
1,1,2,1,1,1,0,1,2,1,147,1,1402,0,1
2,2,2,2,1,1,0,1,2,1,148,1,892,1,1
2,1,1,1,0,1,1,1,1,1,149,1,721,1,1
1,2,2,2,1,0,1,1,2,1,150,1,721,1,1
2,1,2,2,1,1,0,1,2,1,151,1,706,1,1
1,2,1,1,1,1,1,1,1,1,152,1,612,1,1
2,1,1,1,1,1,0,1,1,1,153,0,803,1,1
1,2,1,1,1,1,0,1,1,1,154,1,639,1,1
1,2,1,1,0,0,0,1,1,1,155,1,852,1,1
2,2,2,2,1,0,1,1,2,1,156,1,815,1,1
2,2,2,2,0,0,0,1,2,1,157,1,970,1,1
1,2,2,2,1,0,0,1,2,1,158,1,1092,1,1
2,2,2,2,1,1,0,1,2,1,159,1,957,1,1
2,2,1,2,0,0,0,1,2,1,160,1,600,0,1
1,1,2,2,1,0,0,1,2,1,161,1,752,1,1
2,2,1,1,1,1,1,1,1,1,162,1,661,1,1
1,1,1,1,1,0,0,1,1,1,163,1,1142,1,1
