Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
1,2,2,1,-1,-1,-1,1,2,1,1,-1,-1,0,0
2,1,1,1,1,1,1,1,1,1,2,1,648,1,0
1,2,2,2,1,1,1,1,2,1,3,1,432,1,0
1,1,1,1,0,1,1,1,1,1,4,0,665,1,0
1,2,1,1,0,1,0,1,1,1,5,1,555,1,0
2,1,1,1,1,1,0,1,1,1,6,1,792,1,0
1,1,1,1,1,0,0,1,1,1,7,1,745,1,0
1,1,1,1,0,0,0,1,1,1,8,1,784,1,0
2,2,1,1,1,1,0,1,1,1,9,1,496,1,0
1,2,1,1,1,0,0,1,1,1,10,1,677,1,0
2,1,1,1,1,0,0,1,1,1,11,1,564,1,0
2,1,2,2,0,0,1,1,2,1,12,1,638,1,0
2,1,2,2,0,0,0,1,2,1,13,0,538,1,0
2,1,1,1,0,0,1,1,1,1,14,1,577,1,0
2,1,2,1,0,0,0,1,1,1,15,1,567,0,0
2,1,2,2,0,0,1,1,2,1,16,0,809,1,0
2,2,2,1,0,1,1,1,1,1,17,1,693,0,0
2,1,2,1,0,1,0,1,1,1,18,1,662,0,0
1,2,2,2,1,1,1,1,2,1,19,0,750,1,0
2,1,2,1,1,0,1,1,1,1,20,0,823,0,0
2,1,1,1,0,0,0,1,1,1,21,1,396,1,0
2,2,1,1,0,1,0,1,1,1,22,1,786,1,0
1,2,2,2,1,0,1,1,2,1,23,1,770,1,0
1,2,2,2,0,0,0,1,2,1,24,0,696,1,0
1,2,1,2,0,0,1,1,1,1,25,0,799,0,0
1,1,1,2,0,1,0,1,1,1,26,1,699,0,0
1,2,2,2,0,1,1,1,2,1,27,1,785,1,0
1,1,1,1,0,1,1,1,1,1,28,1,718,1,0
1,1,2,2,0,0,1,1,2,1,29,1,800,1,0
2,1,2,1,1,1,1,1,1,1,30,0,1155,0,0
2,2,1,1,0,1,0,1,1,1,31,1,910,1,0
2,1,2,2,0,1,1,1,2,1,32,1,779,1,0
2,2,2,1,0,1,1,1,1,1,33,1,857,0,0
2,1,2,2,0,1,1,1,2,1,34,1,754,1,0
2,2,2,2,0,1,0,1,2,1,35,1,878,1,0
2,1,1,1,0,1,1,1,1,1,36,1,1048,1,0
1,2,1,2,1,1,0,1,1,1,37,1,1341,0,0
1,2,2,2,0,0,1,1,2,1,38,1,841,1,0
1,1,2,2,0,1,0,1,2,1,39,1,879,1,0
1,2,1,1,0,1,1,1,1,1,40,0,1273,1,0
1,2,1,2,0,0,0,1,1,1,41,1,889,0,0
1,2,2,2,0,0,1,1,2,1,42,1,769,1,0
1,1,1,1,0,1,1,1,1,1,43,1,768,1,0
2,1,1,1,1,0,0,1,1,1,44,1,722,1,0
2,1,1,2,0,0,1,1,2,1,45,0,925,0,0
2,2,2,2,0,1,0,1,2,1,46,1,592,1,0
2,2,2,2,0,0,0,1,2,1,47,1,935,1,0
1,1,2,2,1,1,0,1,2,1,48,1,805,1,0
1,1,2,2,0,0,0,1,2,1,49,1,1018,1,0
1,2,1,2,0,1,1,1,1,1,50,1,822,0,0
2,2,2,2,1,1,1,1,2,1,51,1,681,1,0
2,2,2,2,0,0,0,1,2,1,52,1,702,1,0
2,1,2,2,0,1,0,1,2,1,53,1,791,1,0
2,2,2,2,0,1,0,1,2,1,54,1,1157,1,0
2,1,1,1,0,1,1,1,1,1,55,0,1420,1,0
2,2,1,2,0,1,1,1,2,1,56,0,939,0,0
1,2,2,2,1,1,0,1,2,1,57,1,664,1,0
