Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
1,2,2,1,-1,-1,-1,1,2,1,1,0,1368,0,0
2,2,1,1,1,0,1,1,1,1,2,1,1133,1,0
2,2,1,2,0,0,1,1,2,1,3,0,682,0,0
1,1,1,2,1,1,1,1,1,1,4,0,793,0,0
1,2,2,2,0,1,1,1,2,1,5,0,1012,1,0
2,2,2,1,1,1,1,1,1,1,6,0,1038,0,0
1,1,2,2,1,0,1,1,2,1,7,1,953,1,0
1,2,1,1,0,1,1,1,1,1,8,1,1128,1,0
1,1,2,2,0,1,1,1,2,1,9,0,670,1,0
2,2,2,1,1,0,1,1,1,1,10,0,966,0,0
2,2,1,1,0,0,0,1,1,1,11,0,1143,1,0
1,2,1,1,1,0,0,1,1,1,12,0,805,1,0
2,1,2,1,1,0,0,1,1,1,13,0,1091,0,0
2,2,1,1,0,1,0,1,1,1,14,1,889,1,0
2,2,1,1,0,0,0,1,1,1,15,0,1144,1,0
1,1,1,1,1,1,0,1,1,1,16,1,1097,1,0
1,1,1,2,0,0,0,1,1,1,17,1,680,0,0
2,1,2,2,1,1,1,1,2,1,18,1,1318,1,0
2,1,1,1,0,0,1,1,1,1,19,1,968,1,0
1,2,1,2,1,1,0,1,1,1,20,1,1072,0,0
1,2,1,2,0,0,0,1,1,1,21,1,875,0,0
1,2,1,1,0,0,0,1,1,1,22,1,862,1,0
1,1,1,1,0,1,0,1,1,1,23,1,853,1,0
2,1,2,1,1,1,0,1,1,1,24,0,995,0,0
2,1,2,1,0,0,0,1,1,1,25,1,798,0,0
2,1,2,2,0,0,1,1,2,1,26,0,1278,1,0
1,1,1,1,1,1,1,1,1,1,27,1,1384,1,0
1,1,1,1,0,0,0,1,1,1,28,1,1076,1,0
1,1,1,1,0,0,0,1,1,1,29,1,913,1,0
1,2,2,2,0,1,1,1,2,1,30,1,715,1,0
2,1,2,2,1,1,0,1,2,1,31,1,934,1,0
2,2,2,1,0,1,1,1,1,1,32,1,1000,0,0
2,2,1,1,0,0,0,1,1,1,33,1,997,1,0
2,2,1,1,0,0,0,1,1,1,34,1,792,1,0
2,2,2,2,0,0,1,1,2,1,35,0,861,1,0
1,2,2,2,1,0,0,1,2,1,36,1,972,1,0
1,1,1,2,0,1,1,1,1,1,37,0,881,0,0
1,2,2,2,0,1,1,1,2,1,38,1,1061,1,0
1,1,2,1,0,1,0,1,2,1,39,1,1129,0,0
1,1,2,2,0,0,0,1,2,1,40,1,930,1,0
1,2,2,2,0,1,0,1,2,1,41,1,618,1,0
2,1,1,1,1,0,1,1,1,1,42,0,1139,1,0
2,2,1,1,0,1,0,1,1,1,43,1,1056,1,0
2,2,1,2,0,0,1,1,2,1,44,0,783,0,0
2,2,1,1,0,0,1,1,1,1,45,1,850,1,0
2,1,2,2,0,1,1,1,2,1,46,1,1181,1,0
2,1,1,1,0,0,1,1,1,1,47,1,911,1,0
1,1,1,1,1,0,0,1,1,1,48,0,1177,1,0
1,1,1,1,0,0,0,1,1,1,49,1,1013,1,0
1,2,2,2,0,1,1,1,2,1,50,1,932,1,0
1,2,1,1,0,0,1,1,1,1,51,1,1333,1,0
1,1,1,1,0,1,0,1,1,1,52,1,834,1,0
1,1,1,2,0,0,0,1,1,1,53,1,710,0,0
2,2,2,2,1,0,1,1,2,1,54,1,974,1,0
2,1,2,2,0,1,0,1,2,1,55,1,921,1,0
1,2,1,1,1,1,1,1,1,1,56,1,1034,1,0
2,2,2,2,1,0,1,1,2,1,57,1,836,1,0
2,1,1,1,0,1,1,1,1,1,58,1,1009,1,0
2,2,1,2,0,1,1,1,2,1,59,1,887,0,0
2,1,1,1,0,1,1,1,1,1,60,1,992,1,0
2,1,1,2,0,0,1,1,2,1,61,1,950,0,0
2,2,1,2,0,1,0,1,2,1,62,0,746,0,0
2,1,1,1,0,1,1,1,1,1,63,1,853,1,0
1,2,1,1,1,0,0,1,1,1,64,0,994,1,0
2,1,2,2,1,0,1,1,2,1,65,1,1400,1,0
2,2,2,2,0,1,0,1,2,1,66,0,684,1,0
2,1,1,2,0,1,0,1,2,1,67,1,821,0,0
1,1,1,2,1,0,1,1,1,1,68,1,1226,0,0
1,2,1,2,0,1,0,1,1,1,69,0,1048,0,0
1,2,1,1,0,0,0,1,1,1,70,1,847,1,0
1,2,1,1,0,0,0,1,1,1,71,1,917,1,0
1,1,2,2,0,1,1,1,2,1,72,1,792,1,0
2,2,2,2,1,0,0,1,2,1,73,1,938,1,0
2,1,2,2,0,1,0,1,2,1,74,-1,-1,1,0
2,1,2,1,0,0,1,1,1,1,75,1,817,0,0
2,1,1,1,0,0,0,1,1,1,76,1,807,1,0
2,2,2,2,0,1,1,1,2,1,77,1,650,1,0
2,1,2,1,0,1,1,1,1,1,78,1,949,0,0
1,2,2,2,1,1,1,1,2,1,79,1,594,1,0
1,1,1,1,0,1,1,1,1,1,80,1,699,1,0
1,1,2,2,0,0,1,1,2,1,81,1,689,1,0
1,1,1,1,0,0,1,1,1,1,82,1,683,1,0
1,1,2,2,0,0,1,1,2,1,83,1,782,1,0
1,2,2,1,0,1,0,1,2,1,84,1,811,0,0
1,2,1,1,0,0,1,1,1,1,85,0,544,1,0
1,2,1,2,0,0,0,1,1,1,86,1,646,0,0
2,1,2,2,1,0,1,1,2,1,87,1,917,1,0
1,2,2,2,1,1,0,1,2,1,88,1,1224,1,0
1,2,2,2,0,0,0,1,2,1,89,1,840,1,0
1,1,2,1,0,1,0,1,2,1,90,1,642,0,0
1,1,1,1,0,0,1,1,1,1,91,1,707,1,0
1,1,1,1,0,0,0,1,1,1,92,1,697,1,0
1,2,1,1,0,1,0,1,1,1,93,1,1062,1,0
1,2,1,2,0,0,0,1,1,1,94,1,638,0,0
2,2,1,1,1,1,0,1,1,1,95,1,898,1,0
2,1,1,1,0,1,0,1,1,1,96,1,919,1,0
2,1,1,1,0,0,0,1,1,1,97,1,719,1,0
2,2,1,1,0,1,0,1,1,1,98,1,900,1,0
2,2,1,1,0,0,0,1,1,1,99,1,769,1,0
1,1,1,1,1,0,0,1,1,1,100,0,813,1,0
2,2,1,1,1,1,0,1,1,1,101,1,881,1,0
2,2,1,1,0,0,0,1,1,1,102,1,572,1,0
2,2,2,2,0,0,1,1,2,1,103,1,1013,1,0
2,1,2,2,0,1,0,1,2,1,104,0,889,1,0
2,1,2,2,0,0,0,1,2,1,105,1,810,1,0
2,1,1,1,0,0,1,1,1,1,106,1,904,1,0
2,1,1,1,0,0,0,1,1,1,107,1,1006,1,0
2,2,2,2,0,1,1,1,2,1,108,1,918,1,0
1,1,1,1,1,1,1,1,1,1,109,1,989,1,0
1,2,1,1,0,1,0,1,1,1,110,1,721,1,0
1,2,1,1,0,0,0,1,1,1,111,1,741,1,0
1,1,2,2,0,1,1,1,2,1,112,1,620,1,0
1,2,2,1,0,1,0,1,2,1,113,1,877,0,0
1,2,2,2,0,0,0,1,2,1,114,1,677,1,0
1,1,2,2,0,1,0,1,2,1,115,0,1121,1,0
2,2,2,2,1,1,0,1,2,1,116,1,856,1,0
2,1,1,1,0,1,1,1,1,1,117,1,876,1,0
2,2,2,2,0,1,1,1,2,1,118,1,715,1,0
2,1,1,2,0,1,0,1,2,1,119,1,892,0,0
2,2,1,1,0,1,1,1,1,1,120,1,667,1,0
2,2,2,1,0,0,0,1,1,1,121,1,688,0,0
1,2,1,2,1,0,0,1,1,1,122,0,677,0,0
1,2,2,2,0,0,1,1,2,1,123,1,857,1,0
1,1,1,1,0,1,1,1,1,1,124,1,632,1,0
1,2,2,2,0,1,1,1,2,1,125,1,689,1,0
1,1,1,1,0,1,1,1,1,1,126,1,565,1,0
1,1,2,1,0,0,1,1,2,1,127,1,637,0,0
2,1,1,1,1,1,1,1,1,1,128,1,584,1,0
2,1,2,2,0,0,1,1,2,1,129,0,722,1,0
2,2,2,2,0,1,0,1,2,1,130,0,866,1,0
1,1,1,1,-1,-1,-1,1,1,1,131,1,1025,1,0
1,2,1,1,0,1,0,1,1,1,132,1,761,1,0
2,1,2,2,1,0,1,1,2,1,133,1,1120,1,0
2,2,1,2,0,1,0,1,2,1,134,0,661,0,0
2,2,1,1,0,0,1,1,1,1,135,1,608,1,0
2,1,1,2,0,1,1,1,2,1,136,1,900,0,0
2,1,2,2,0,0,0,1,2,1,137,0,824,1,0
2,2,2,2,0,1,0,1,2,1,138,0,837,1,0
1,1,1,1,1,0,1,1,1,1,139,1,1053,1,0
1,1,1,1,0,0,0,1,1,1,140,1,710,1,0
2,2,1,1,1,1,0,1,1,1,141,0,1038,1,0
2,1,2,2,0,1,1,1,2,1,142,1,807,1,0
1,2,1,1,1,0,1,1,1,1,143,1,795,1,0
2,1,2,2,1,1,1,1,2,1,144,1,709,1,0
1,2,1,1,1,0,1,1,1,1,145,1,779,1,0
2,2,2,2,1,0,1,1,2,1,146,1,765,1,0
1,2,1,2,1,1,1,1,1,1,147,1,1250,0,0
1,1,2,2,0,1,1,1,2,1,148,1,750,1,0
1,1,1,2,0,0,1,1,1,1,149,1,701,0,0
1,1,1,1,0,0,0,1,1,1,150,1,1284,1,0
2,1,1,1,1,0,0,1,1,1,151,1,1123,1,0
