Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
1,2,1,1,-1,-1,-1,1,1,1,1,1,1180,1,0
1,1,2,2,0,1,1,1,2,1,2,1,770,1,0
1,1,2,1,0,0,0,1,2,1,3,1,838,0,0
1,1,2,2,0,0,0,1,2,1,4,1,814,1,0
2,1,1,1,1,1,1,1,1,1,5,0,881,1,0
1,1,2,2,1,1,1,1,2,1,6,1,722,1,0
1,1,2,2,0,0,0,1,2,1,7,1,769,1,0
1,2,1,1,0,1,1,1,1,1,8,1,784,1,0
1,2,1,1,0,0,0,1,1,1,9,0,815,1,0
2,2,2,1,1,0,0,1,1,1,10,1,730,0,0
2,2,2,1,0,0,0,1,1,1,11,1,809,0,0
2,2,2,2,0,0,1,1,2,1,12,1,674,1,0
1,1,1,1,1,0,1,1,1,1,13,1,1139,1,0
1,2,1,1,0,1,0,1,1,1,14,1,1414,1,0
1,1,1,2,0,1,0,1,1,1,15,1,1403,0,0
2,1,2,1,1,1,0,1,1,1,16,1,631,0,0
2,1,1,1,0,0,0,1,1,1,17,1,1128,1,0
1,2,2,2,1,0,1,1,2,1,18,1,819,1,0
1,2,2,2,0,0,0,1,2,1,19,1,795,1,0
1,1,1,1,0,1,1,1,1,1,20,1,1027,1,0
2,2,1,1,1,1,0,1,1,1,21,1,528,1,0
2,1,2,2,0,1,1,1,2,1,22,1,706,1,0
1,1,2,2,1,0,0,1,2,1,23,1,692,1,0
1,2,2,2,0,1,0,1,2,1,24,1,731,1,0
1,2,1,1,0,0,1,1,1,1,25,1,826,1,0
2,1,2,2,1,0,1,1,2,1,26,1,665,1,0
1,2,1,1,1,0,1,1,1,1,27,1,868,1,0
1,2,2,2,0,0,1,1,2,1,28,1,657,1,0
1,2,1,1,0,0,1,1,1,1,29,1,893,1,0
2,1,2,2,1,0,1,1,2,1,30,1,924,1,0
2,1,2,2,0,0,0,1,2,1,31,1,810,1,0
2,1,1,1,0,0,1,1,1,1,32,1,480,1,0
2,2,2,2,0,1,1,1,2,1,33,1,662,1,0
2,2,2,1,0,0,1,1,1,1,34,1,678,0,0
1,2,2,2,1,1,1,1,2,1,35,1,824,1,0
1,2,1,1,0,0,1,1,1,1,36,1,922,1,0
1,2,2,2,0,0,1,1,2,1,37,1,703,1,0
1,1,1,1,0,1,1,1,1,1,38,0,831,1,0
1,2,1,1,0,1,0,1,1,1,39,1,914,1,0
2,2,1,1,1,0,0,1,1,1,40,1,607,1,0
2,1,2,2,0,1,1,1,2,1,41,1,654,1,0
2,2,1,1,0,1,1,1,1,1,42,1,823,1,0
2,1,2,1,0,1,0,1,1,1,43,0,587,0,0
2,2,1,1,0,1,0,1,1,1,44,1,637,1,0
2,2,1,1,0,0,0,1,1,1,45,1,801,1,0
2,1,1,1,0,1,0,1,1,1,46,1,600,1,0
1,2,1,1,1,1,0,1,1,1,47,1,731,1,0
1,2,1,1,0,0,0,1,1,1,48,0,983,1,0
1,1,1,2,0,1,0,1,1,1,49,1,825,0,0
1,2,2,1,0,1,1,1,2,1,50,1,875,0,0
1,1,1,1,0,1,1,1,1,1,51,1,704,1,0
1,2,1,1,0,1,0,1,1,1,52,1,770,1,0
1,1,2,2,0,1,1,1,2,1,53,1,701,1,0
2,2,2,2,1,0,0,1,2,1,54,1,850,1,0
2,2,2,2,0,0,0,1,2,1,55,1,626,1,0
2,1,1,1,0,1,1,1,1,1,56,0,848,1,0
2,1,1,1,0,0,0,1,1,1,57,1,935,1,0
1,2,1,1,1,1,0,1,1,1,58,1,698,1,0
1,2,2,2,0,0,1,1,2,1,59,1,866,1,0
1,1,1,1,0,1,1,1,1,1,60,1,661,1,0
1,1,1,1,0,0,0,1,1,1,61,1,596,1,0
1,1,1,1,0,0,0,1,1,1,62,0,1030,1,0
1,2,2,2,0,1,1,1,2,1,63,1,745,1,0
2,1,2,2,1,0,0,1,2,1,64,1,644,1,0
2,1,1,1,0,0,1,1,1,1,65,1,766,1,0
2,2,1,2,0,1,1,1,2,1,66,1,991,0,0
1,1,1,1,1,1,1,1,1,1,67,1,632,1,0
1,1,1,1,0,0,0,1,1,1,68,1,576,1,0
1,2,1,2,0,1,0,1,1,1,69,1,732,0,0
1,1,2,1,0,1,1,1,2,1,70,1,786,0,0
1,1,1,2,0,0,1,1,1,1,71,1,650,0,0
2,2,2,1,1,1,0,1,1,1,72,1,831,0,0
2,2,1,1,0,0,0,1,1,1,73,1,602,1,0
2,2,1,2,0,0,1,1,2,1,74,1,659,0,0
2,1,2,1,0,1,1,1,1,1,75,1,1155,0,0
1,1,2,2,1,0,1,1,2,1,76,1,1198,1,0
2,2,1,1,1,0,1,1,1,1,77,1,504,1,0
2,1,1,2,0,1,1,1,2,1,78,1,542,0,0
2,2,1,1,0,1,1,1,1,1,79,1,578,1,0
1,2,2,2,1,0,1,1,2,1,80,1,695,1,0
1,2,2,1,0,0,0,1,2,1,81,1,642,0,0
1,1,2,2,0,1,0,1,2,1,82,1,507,1,0
1,1,1,2,0,0,1,1,1,1,83,1,692,0,0
1,2,2,1,0,1,1,1,2,1,84,1,571,0,0
2,2,2,2,1,1,0,1,2,1,85,1,630,1,0
2,1,2,2,0,1,0,1,2,1,86,1,606,1,0
2,2,2,1,0,1,1,1,1,1,87,1,513,0,0
2,2,1,1,0,0,0,1,1,1,88,1,700,1,0
2,2,1,1,0,0,0,1,1,1,89,1,643,1,0
1,2,2,1,1,0,1,1,2,1,90,0,813,0,0
1,2,2,1,0,0,0,1,2,1,91,1,907,0,0
1,1,1,1,0,1,1,1,1,1,92,1,617,1,0
1,2,1,1,0,1,0,1,1,1,93,1,571,1,0
1,2,2,1,0,0,1,1,2,1,94,1,520,0,0
2,2,1,1,1,1,1,1,1,1,95,1,533,1,0
2,2,2,2,0,0,1,1,2,1,96,1,562,1,0
2,2,2,2,0,0,0,1,2,1,97,1,748,1,0
2,1,2,2,0,1,0,1,2,1,98,1,630,1,0
1,1,1,2,1,0,1,1,1,1,99,1,655,0,0
1,2,1,1,0,1,0,1,1,1,100,1,668,1,0
2,1,2,1,1,0,0,1,1,1,101,1,533,0,0
2,2,1,2,0,1,1,1,2,1,102,0,837,0,0
2,1,2,2,0,1,0,1,2,1,103,1,883,1,0
2,2,1,1,0,1,1,1,1,1,104,1,583,1,0
2,1,2,2,0,1,1,1,2,1,105,0,785,1,0
2,1,2,1,0,0,1,1,1,1,106,1,630,0,0
2,1,1,2,0,0,1,1,2,1,107,1,747,0,0
2,2,1,1,0,1,1,1,1,1,108,1,577,1,0
1,1,1,2,1,1,0,1,1,1,109,1,706,0,0
2,1,2,2,1,1,1,1,2,1,110,1,880,1,0
2,2,2,2,0,1,0,1,2,1,111,1,763,1,0
2,2,1,1,0,0,1,1,1,1,112,0,523,1,0
2,1,2,2,0,1,1,1,2,1,113,1,658,1,0
2,1,2,2,0,0,0,1,2,1,114,1,859,1,0
2,1,2,2,0,0,0,1,2,1,115,1,672,1,0
2,1,2,2,0,0,0,1,2,1,116,1,756,1,0
2,2,2,2,0,1,0,1,2,1,117,1,768,1,0
1,1,1,1,1,1,1,1,1,1,118,1,564,1,0
2,1,1,1,1,1,0,1,1,1,119,1,705,1,0
2,1,1,2,0,0,1,1,2,1,120,1,787,0,0
2,1,1,1,0,0,1,1,1,1,121,1,557,1,0
2,2,1,1,0,1,0,1,1,1,122,1,641,1,0
1,2,2,1,1,1,1,1,2,1,123,1,604,0,0
1,1,1,1,0,1,1,1,1,1,124,1,669,1,0
1,1,2,2,0,0,1,1,2,1,125,1,621,1,0
1,1,1,1,0,0,1,1,1,1,126,1,551,1,0
1,1,1,1,0,0,0,1,1,1,127,1,584,1,0
1,2,2,2,0,1,1,1,2,1,128,1,462,1,0
1,1,2,2,0,1,0,1,2,1,129,0,391,1,0
1,1,1,1,0,0,1,1,1,1,130,1,793,1,0
1,1,1,1,-1,-1,-1,1,1,1,131,1,640,1,0
1,1,1,1,0,0,0,1,1,1,132,1,555,1,0
2,2,2,1,1,1,0,1,1,1,133,1,432,0,0
1,1,1,2,1,0,0,1,1,1,134,0,802,0,0
1,2,2,2,0,1,1,1,2,1,135,1,852,1,0
2,1,1,1,1,1,1,1,1,1,136,1,555,1,0
2,1,1,2,0,0,1,1,2,1,137,1,641,0,0
2,2,1,1,0,1,1,1,1,1,138,1,664,1,0
2,1,1,2,0,1,1,1,2,1,139,1,633,0,0
2,1,1,1,0,0,1,1,1,1,140,1,473,1,0
2,2,2,2,0,1,1,1,2,1,141,1,679,1,0
2,2,1,1,0,0,1,1,1,1,142,1,472,1,0
2,2,1,2,0,0,1,1,2,1,143,1,639,0,0
1,1,1,1,1,1,1,1,1,1,144,0,655,1,0
1,1,1,1,0,0,0,1,1,1,145,1,665,1,0
1,1,2,1,0,0,1,1,2,1,146,1,505,0,0
2,2,2,1,1,0,1,1,1,1,147,0,588,0,0
2,1,2,2,0,1,1,1,2,1,148,1,958,1,0
1,2,1,1,1,0,1,1,1,1,149,1,775,1,0
2,1,2,2,1,0,1,1,2,1,150,1,685,1,0
1,1,2,2,1,0,0,1,2,1,151,0,724,1,0
1,2,2,2,0,1,0,1,2,1,152,1,645,1,0
1,2,1,1,0,0,1,1,1,1,153,1,530,1,0
1,1,1,1,0,1,0,1,1,1,154,1,651,1,0
2,2,1,1,1,1,0,1,1,1,155,1,461,1,0
2,1,1,1,0,1,0,1,1,1,156,1,569,1,0
1,2,1,1,1,1,0,1,1,1,157,1,570,1,0
1,1,1,1,0,1,0,1,1,1,158,0,599,1,0
1,2,2,1,0,1,1,1,2,1,159,1,1110,0,0
1,1,2,1,0,1,0,1,2,1,160,1,889,0,0
1,1,2,2,0,0,0,1,2,1,161,1,705,1,0
2,2,1,1,1,0,1,1,1,1,162,1,599,1,0
1,2,2,1,1,0,1,1,2,1,163,0,629,0,0
2,1,1,1,1,1,1,1,1,1,164,1,876,1,0
2,1,1,1,0,0,0,1,1,1,165,1,518,1,0
2,2,2,2,0,1,1,1,2,1,166,1,671,1,0
2,2,2,2,0,0,0,1,2,1,167,0,782,1,0
1,1,2,2,1,0,0,1,2,1,168,1,833,1,0
1,1,2,2,0,0,0,1,2,1,169,1,815,1,0
2,2,1,1,1,1,1,1,1,1,170,1,534,1,0
2,1,2,1,0,1,0,1,1,1,171,0,576,0,0
2,1,2,2,0,0,1,1,2,1,172,1,801,1,0
1,2,2,1,1,1,0,1,2,1,173,0,861,0,0
1,2,1,1,0,0,1,1,1,1,174,0,1040,1,0
1,1,1,1,0,1,0,1,1,1,175,1,1288,1,0
1,2,1,1,0,1,0,1,1,1,176,1,1159,1,0
1,2,2,2,0,0,1,1,2,1,177,1,827,1,0
1,1,1,1,0,1,1,1,1,1,178,0,1033,1,0
1,2,1,1,0,1,0,1,1,1,179,0,1234,1,0
2,1,2,1,1,1,0,1,1,1,180,1,826,0,0
2,1,1,2,0,0,1,1,2,1,181,1,812,0,0
2,2,2,1,0,1,1,1,1,1,182,1,619,0,0
2,2,2,2,0,0,1,1,2,1,183,1,666,1,0
2,2,1,1,0,0,1,1,1,1,184,1,672,1,0
1,2,1,1,1,1,0,1,1,1,185,1,668,1,0
1,1,2,2,0,1,1,1,2,1,186,1,569,1,0
1,2,1,1,0,1,1,1,1,1,187,0,1268,1,0
1,2,2,1,0,0,1,1,2,1,188,1,1269,0,0
1,2,2,1,0,0,0,1,2,1,189,0,875,0,0
1,2,2,1,0,0,0,1,2,1,190,1,852,0,0
2,1,2,2,1,0,0,1,2,1,191,1,684,1,0
2,1,2,1,0,0,1,1,1,1,192,1,751,0,0
2,1,1,1,0,0,0,1,1,1,193,1,701,1,0
2,2,1,1,0,1,0,1,1,1,194,1,655,1,0
2,2,1,1,0,0,0,1,1,1,195,1,634,1,0
2,1,2,2,0,1,1,1,2,1,196,1,757,1,0
2,1,2,2,0,0,0,1,2,1,197,1,680,1,0
1,2,2,2,1,1,0,1,2,1,198,1,880,1,0
1,2,2,2,0,0,0,1,2,1,199,0,776,1,0
2,1,2,1,1,0,1,1,1,1,200,1,562,0,0
2,2,1,1,0,1,0,1,1,1,201,1,717,1,0
2,2,2,1,0,0,0,1,1,1,202,1,635,0,0
2,2,2,2,0,0,1,1,2,1,203,1,714,1,0
2,1,2,2,0,1,0,1,2,1,204,1,738,1,0
2,2,1,2,0,1,0,1,2,1,205,0,790,0,0
1,1,1,2,1,1,1,1,1,1,206,0,967,0,0
2,2,1,1,1,0,0,1,1,1,207,0,1041,1,0
2,1,2,2,0,1,1,1,2,1,208,1,693,1,0
1,1,1,1,1,0,1,1,1,1,209,0,1072,1,0
1,1,2,2,0,0,1,1,2,1,210,1,832,1,0
1,1,1,1,0,0,1,1,1,1,211,1,568,1,0
1,1,1,1,0,0,0,1,1,1,212,1,1233,1,0
2,1,2,2,1,0,1,1,2,1,213,1,644,1,0
2,2,1,1,0,1,1,1,1,1,214,1,754,1,0
2,1,2,2,0,1,1,1,2,1,215,1,713,1,0
2,1,2,2,0,0,0,1,2,1,216,1,675,1,0
2,2,1,1,0,1,1,1,1,1,217,1,673,1,0
2,2,2,2,0,0,1,1,2,1,218,1,776,1,0
2,1,2,1,0,1,1,1,1,1,219,1,682,0,0
2,2,1,1,0,1,0,1,1,1,220,1,553,1,0
1,2,2,2,1,0,1,1,2,1,221,1,766,1,0
1,2,2,2,0,0,0,1,2,1,222,1,775,1,0
1,2,1,1,0,0,1,1,1,1,223,1,690,1,0
1,1,1,2,0,1,0,1,1,1,224,1,619,0,0
1,2,1,1,0,1,0,1,1,1,225,1,715,1,0
2,2,2,2,1,0,1,1,2,1,226,1,633,1,0
2,1,1,1,0,1,1,1,1,1,227,1,763,1,0
2,1,1,1,0,0,0,1,1,1,228,1,630,1,0
2,2,1,2,0,1,1,1,2,1,229,0,812,0,0
2,1,2,2,0,1,0,1,2,1,230,1,771,1,0
1,1,2,2,1,1,0,1,2,1,231,1,584,1,0
1,1,1,2,0,0,1,1,1,1,232,0,967,0,0
1,2,2,1,0,1,1,1,2,1,233,1,722,0,0
1,2,1,1,0,0,1,1,1,1,234,1,930,1,0
1,2,2,2,0,0,1,1,2,1,235,1,657,1,0
1,1,2,2,0,1,0,1,2,1,236,1,632,1,0
1,1,1,1,0,0,1,1,1,1,237,1,726,1,0
2,1,2,2,1,1,1,1,2,1,238,1,522,1,0
2,1,1,1,0,0,1,1,1,1,239,1,672,1,0
2,1,2,2,0,0,1,1,2,1,240,1,635,1,0
2,2,2,2,0,1,0,1,2,1,241,1,679,1,0
2,2,2,1,0,0,1,1,1,1,242,0,568,0,0
2,1,2,2,0,1,1,1,2,1,243,1,1112,1,0
