Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
2,1,2,1,-1,-1,-1,1,1,1,1,1,1097,0,0
2,2,2,2,0,1,1,1,2,1,2,1,828,1,0
1,2,2,2,1,1,0,1,2,1,3,1,698,1,0
1,1,2,2,0,1,0,1,2,1,4,1,807,1,0
1,1,2,2,0,0,0,1,2,1,5,1,718,1,0
1,2,2,2,0,1,0,1,2,1,6,1,780,1,0
2,1,2,1,1,1,1,1,1,1,7,1,567,0,0
1,2,2,2,1,0,1,1,2,1,8,0,1251,1,0
2,2,2,2,1,1,0,1,2,1,9,1,1480,1,0
2,2,1,2,0,0,0,1,2,1,10,0,1213,0,0
2,2,1,1,0,0,1,1,1,1,11,1,1172,1,0
1,1,1,1,1,0,0,1,1,1,12,1,845,1,0
2,1,1,1,1,0,0,1,1,1,13,1,982,1,0
1,2,1,2,1,1,0,1,1,1,14,0,684,0,0
1,1,2,1,0,1,1,1,2,1,15,0,708,0,0
2,1,2,2,1,1,0,1,2,1,16,1,955,1,0
2,1,1,2,0,0,0,1,2,1,17,1,747,0,0
2,1,1,1,0,0,1,1,1,1,18,1,1008,1,0
2,1,1,1,0,0,0,1,1,1,19,1,782,1,0
2,1,2,1,0,0,0,1,1,1,20,1,1025,0,0
2,1,1,2,0,0,1,1,2,1,21,1,735,0,0
2,2,1,2,0,1,0,1,2,1,22,1,771,0,0
1,2,1,2,1,0,1,1,1,1,23,0,1031,0,0
1,2,2,2,0,0,1,1,2,1,24,1,1074,1,0
1,1,2,2,0,1,0,1,2,1,25,1,775,1,0
2,2,1,1,1,0,1,1,1,1,26,1,1031,1,0
2,1,1,1,0,1,0,1,1,1,27,1,846,1,0
2,1,1,1,0,0,0,1,1,1,28,1,1175,1,0
1,1,1,2,1,0,0,1,1,1,29,0,983,0,0
1,1,2,2,0,0,1,1,2,1,30,1,887,1,0
1,1,1,1,0,0,1,1,1,1,31,1,897,1,0
1,1,1,1,0,0,0,1,1,1,32,1,987,1,0
1,2,2,2,0,1,1,1,2,1,33,1,750,1,0
2,2,2,2,1,0,0,1,2,1,34,1,786,1,0
1,1,2,2,1,0,0,1,2,1,35,1,897,1,0
2,1,1,1,1,0,1,1,1,1,36,1,658,1,0
2,1,1,1,0,0,0,1,1,1,37,1,1113,1,0
2,1,2,2,0,0,1,1,2,1,38,1,1063,1,0
2,2,1,2,0,1,0,1,2,1,39,1,1000,0,0
1,1,1,1,1,1,1,1,1,1,40,1,814,1,0
1,1,1,1,0,0,0,1,1,1,41,1,737,1,0
1,1,1,1,0,0,0,1,1,1,42,1,902,1,0
2,1,1,1,1,0,0,1,1,1,43,1,547,1,0
2,2,1,1,0,1,0,1,1,1,44,1,665,1,0
2,1,1,1,0,1,0,1,1,1,45,1,737,1,0
1,2,2,2,1,0,1,1,2,1,46,1,772,1,0
1,2,1,1,0,0,1,1,1,1,47,1,675,1,0
1,1,2,2,0,1,1,1,2,1,48,1,696,1,0
1,2,2,2,0,1,0,1,2,1,49,1,860,1,0
1,2,2,1,0,0,0,1,2,1,50,0,1022,0,0
1,2,2,2,0,0,0,1,2,1,51,0,1136,1,0
1,1,1,2,0,1,1,1,1,1,52,0,1084,0,0
2,2,1,2,1,0,1,1,2,1,53,1,942,0,0
2,2,1,1,0,0,1,1,1,1,54,1,1099,1,0
2,1,1,1,0,1,0,1,1,1,55,1,911,1,0
2,2,2,2,0,1,1,1,2,1,56,1,805,1,0
2,1,2,1,0,1,1,1,1,1,57,1,1197,0,0
2,2,2,2,0,1,1,1,2,1,58,1,884,1,0
2,1,2,1,0,1,1,1,1,1,59,1,919,0,0
2,2,1,1,0,1,0,1,1,1,60,1,736,1,0
1,2,1,1,1,1,0,1,1,1,61,1,739,1,0
1,2,1,1,0,0,0,1,1,1,62,1,796,1,0
1,2,1,1,0,0,0,1,1,1,63,1,633,1,0
2,1,1,2,1,0,1,1,2,1,64,1,860,0,0
1,1,1,1,1,1,1,1,1,1,65,1,749,1,0
1,2,2,2,0,1,1,1,2,1,66,1,1103,1,0
1,1,1,1,0,1,1,1,1,1,67,1,657,1,0
1,1,1,2,0,0,0,1,1,1,68,0,728,0,0
2,1,2,2,1,1,1,1,2,1,69,1,762,1,0
2,2,2,2,0,1,0,1,2,1,70,1,1095,1,0
2,2,1,2,0,0,0,1,2,1,71,0,1100,0,0
1,1,1,1,1,1,1,1,1,1,72,1,987,1,0
1,1,2,1,0,0,1,1,2,1,73,0,885,0,0
1,2,2,1,0,1,0,1,2,1,74,0,1027,0,0
1,1,2,2,0,1,0,1,2,1,75,1,1366,1,0
