Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
2,2,1,1,-1,-1,-1,1,1,1,1,1,726,1,0
2,2,2,1,0,0,0,1,1,1,2,1,598,0,0
2,1,1,1,0,1,0,1,1,1,3,1,608,1,0
1,1,2,2,1,0,1,1,2,1,4,1,513,1,0
1,2,1,1,0,1,1,1,1,1,5,1,768,1,0
1,1,1,1,0,1,0,1,1,1,6,1,635,1,0
1,1,1,1,0,0,0,1,1,1,7,1,494,1,0
1,2,1,2,0,1,0,1,1,1,8,1,1009,0,0
1,2,1,1,0,0,0,1,1,1,9,1,630,1,0
1,1,1,2,0,1,0,1,1,1,10,1,640,0,0
1,2,2,2,0,1,1,1,2,1,11,1,579,1,0
2,1,2,2,1,0,0,1,2,1,12,1,721,1,0
2,1,1,1,0,0,1,1,1,1,13,1,609,1,0
2,1,2,1,0,0,0,1,1,1,14,1,1176,0,0
1,2,2,2,1,1,1,1,2,1,15,1,734,1,0
2,2,1,2,1,1,0,1,2,1,16,0,804,0,0
2,1,2,2,0,1,0,1,2,1,17,1,693,1,0
2,1,2,2,0,0,0,1,2,1,18,1,765,1,0
1,2,1,1,1,1,1,1,1,1,19,1,1480,1,0
1,1,1,1,0,1,0,1,1,1,20,1,714,1,0
2,2,2,2,1,0,1,1,2,1,21,1,598,1,0
2,2,2,2,0,0,0,1,2,1,22,1,581,1,0
1,2,2,1,1,0,0,1,2,1,23,1,630,0,0
1,1,2,2,0,1,0,1,2,1,24,1,562,1,0
1,2,1,1,0,1,1,1,1,1,25,1,952,1,0
1,2,1,1,0,0,0,1,1,1,26,1,662,1,0
1,2,2,2,0,0,1,1,2,1,27,1,602,1,0
1,1,1,2,0,1,1,1,1,1,28,1,608,0,0
2,1,1,1,1,1,0,1,1,1,29,1,1215,1,0
2,2,2,2,0,1,1,1,2,1,30,1,597,1,0
2,1,1,1,0,1,1,1,1,1,31,1,883,1,0
1,1,1,1,1,1,0,1,1,1,32,1,759,1,0
1,1,1,1,0,0,0,1,1,1,33,1,656,1,0
1,1,1,1,0,0,0,1,1,1,34,1,552,1,0
2,2,2,2,1,1,1,1,2,1,35,1,537,1,0
2,1,2,2,0,1,0,1,2,1,36,-1,-1,1,0
2,1,2,2,0,0,0,1,2,1,37,1,606,1,0
2,1,2,1,0,0,1,1,1,1,38,1,1301,0,0
2,2,1,1,0,1,0,1,1,1,39,1,752,1,0
2,2,2,1,0,0,0,1,1,1,40,0,792,0,0
2,2,2,2,0,0,1,1,2,1,41,1,852,1,0
1,2,1,1,1,0,1,1,1,1,42,1,720,1,0
1,1,2,2,0,1,1,1,2,1,43,1,957,1,0
1,2,1,2,0,1,1,1,1,1,44,1,685,0,0
2,2,1,1,1,1,0,1,1,1,45,1,692,1,0
2,1,2,2,0,1,1,1,2,1,46,1,1192,1,0
1,1,1,1,1,1,1,1,1,1,47,1,633,1,0
1,2,2,2,0,1,1,1,2,1,48,0,552,1,0
1,1,2,2,0,1,0,1,2,1,49,0,625,1,0
1,1,1,1,0,0,1,1,1,1,50,1,702,1,0
1,1,2,2,0,0,1,1,2,1,51,1,1212,1,0
1,1,2,2,0,0,0,1,2,1,52,1,1086,1,0
2,2,1,1,1,1,1,1,1,1,53,1,627,1,0
2,1,2,2,0,1,1,1,2,1,54,1,824,1,0
2,2,2,2,0,1,0,1,2,1,55,1,689,1,0
2,1,1,2,0,1,0,1,2,1,56,1,593,0,0
1,1,2,1,1,1,0,1,2,1,57,0,1168,0,0
