Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
2,2,1,2,-1,-1,-1,1,2,1,1,1,1413,0,0
2,1,2,2,0,1,0,1,2,1,2,0,915,1,0
2,2,1,2,0,1,0,1,2,1,3,1,832,0,0
2,1,1,1,0,1,1,1,1,1,4,1,849,1,0
1,2,2,2,1,0,1,1,2,1,5,1,1379,1,0
1,1,2,2,0,1,0,1,2,1,6,1,739,1,0
1,1,2,2,0,0,0,1,2,1,7,1,774,1,0
1,1,2,1,0,0,0,1,2,1,8,1,766,0,0
1,2,1,2,0,1,1,1,1,1,9,0,698,0,0
2,1,2,2,1,0,1,1,2,1,10,0,1108,1,0
1,1,1,2,1,0,1,1,1,1,11,0,1104,0,0
1,1,2,2,0,0,1,1,2,1,12,0,1386,1,0
1,2,1,2,0,1,1,1,1,1,13,1,1099,0,0
1,2,1,1,0,0,0,1,1,1,14,1,1495,1,0
1,2,1,1,0,0,0,1,1,1,15,0,987,1,0
1,1,2,2,0,1,1,1,2,1,16,1,821,1,0
2,2,2,2,1,1,0,1,2,1,17,1,896,1,0
1,2,2,2,1,1,0,1,2,1,18,0,1507,1,0
1,2,1,2,0,0,1,1,1,1,19,1,1203,0,0
1,1,1,1,0,1,0,1,1,1,20,1,1192,1,0
2,1,1,1,1,0,0,1,1,1,21,0,1318,1,0
1,2,2,2,1,0,1,1,2,1,22,0,1463,1,0
1,1,1,2,0,1,1,1,1,1,23,1,1368,0,0
1,2,2,1,0,1,1,1,2,1,24,1,1069,0,0
1,2,2,2,0,0,0,1,2,1,25,0,1089,1,0
2,1,2,2,1,1,0,1,2,1,26,1,1251,1,0
1,2,1,1,1,0,1,1,1,1,27,1,1447,1,0
1,2,1,1,0,0,0,1,1,1,28,1,1159,1,0
1,2,2,1,0,0,1,1,2,1,29,-1,-1,0,0
1,2,2,2,0,0,0,1,2,1,30,0,866,1,0
1,1,2,2,0,1,0,1,2,1,31,0,919,1,0
2,2,2,2,1,0,0,1,2,1,32,1,786,1,0
2,1,1,1,0,1,1,1,1,1,33,0,1315,1,0
2,1,1,1,0,0,0,1,1,1,34,1,1124,1,0
2,1,1,2,0,0,1,1,2,1,35,1,717,0,0
2,1,2,1,0,0,1,1,1,1,36,1,903,0,0
2,2,1,1,0,1,0,1,1,1,37,1,812,1,0
1,2,1,2,1,0,0,1,1,1,38,1,1190,0,0
1,1,1,1,0,1,0,1,1,1,39,1,1071,1,0
1,2,1,1,0,1,0,1,1,1,40,1,1167,1,0
1,1,1,2,0,1,0,1,1,1,41,0,798,0,0
1,2,2,2,0,1,1,1,2,1,42,1,1073,1,0
2,1,1,1,1,1,1,1,1,1,43,1,1277,1,0
2,2,1,2,0,1,1,1,2,1,44,1,985,0,0
1,1,1,1,1,0,1,1,1,1,45,0,1268,1,0
1,1,1,1,0,0,0,1,1,1,46,1,1203,1,0
1,1,1,1,0,0,0,1,1,1,47,0,1006,1,0
1,2,2,2,0,1,1,1,2,1,48,-1,-1,1,0
2,1,2,1,1,1,1,1,1,1,49,1,990,0,0
2,1,1,1,0,0,0,1,1,1,50,1,1186,1,0
2,1,1,1,0,0,0,1,1,1,51,1,1215,1,0
1,2,2,2,1,1,1,1,2,1,52,0,959,1,0
1,1,2,2,0,1,0,1,2,1,53,1,893,1,0
2,2,1,1,1,1,1,1,1,1,54,1,1065,1,0
2,2,1,1,0,0,0,1,1,1,55,1,1089,1,0
2,2,2,2,0,0,1,1,2,1,56,1,1040,1,0
2,1,1,2,0,1,0,1,2,1,57,0,1177,0,0
2,2,1,1,0,1,1,1,1,1,58,1,965,1,0
1,1,1,1,1,0,0,1,1,1,59,1,1378,1,0
1,1,2,2,0,0,1,1,2,1,60,1,1419,1,0
2,2,2,2,1,0,0,1,2,1,61,-1,-1,1,0
2,2,2,1,0,0,1,1,1,1,62,0,824,0,0
2,1,2,2,0,1,1,1,2,1,63,1,1107,1,0
2,2,1,1,0,1,1,1,1,1,64,1,728,1,0
2,1,2,1,0,1,0,1,1,1,65,1,924,0,0
2,1,2,2,0,0,1,1,2,1,66,0,948,1,0
2,1,1,1,0,0,1,1,1,1,67,1,985,1,0
2,1,2,2,0,0,1,1,2,1,68,1,673,1,0
1,1,1,1,1,1,1,1,1,1,69,1,1387,1,0
1,2,2,2,0,1,1,1,2,1,70,1,1504,1,0
2,2,2,1,1,1,1,1,1,1,71,1,1319,0,0
2,2,2,2,0,0,1,1,2,1,72,1,918,1,0
2,2,1,1,0,0,1,1,1,1,73,0,742,1,0
2,2,1,1,0,0,0,1,1,1,74,1,968,1,0
2,2,1,1,0,0,0,1,1,1,75,1,1108,1,0
2,2,1,1,0,0,0,1,1,1,76,0,984,1,0
2,2,2,2,0,0,1,1,2,1,77,1,879,1,0
2,1,2,2,0,1,0,1,2,1,78,0,1224,1,0
1,2,1,1,1,1,1,1,1,1,79,1,1471,1,0
1,2,1,1,0,0,0,1,1,1,80,0,969,1,0
1,2,1,1,0,0,0,1,1,1,81,1,1305,1,0
2,1,2,2,1,0,1,1,2,1,82,1,1032,1,0
2,1,2,2,0,0,0,1,2,1,83,1,1068,1,0
2,1,1,2,0,0,0,1,2,1,84,1,767,0,0
2,2,1,1,0,1,1,1,1,1,85,0,896,1,0
2,2,2,2,0,0,1,1,2,1,86,1,731,1,0
1,1,1,1,1,1,1,1,1,1,87,-1,-1,1,0
1,1,2,2,0,0,1,1,2,1,88,1,947,1,0
1,2,2,2,0,1,0,1,2,1,89,1,990,1,0
1,2,1,1,0,0,1,1,1,1,90,1,825,1,0
1,1,1,1,0,1,0,1,1,1,91,1,735,1,0
2,2,1,1,1,1,0,1,1,1,92,1,992,1,0
2,1,2,2,0,1,1,1,2,1,93,0,586,1,0
1,1,1,2,1,1,1,1,1,1,94,1,765,0,0
1,1,2,1,0,0,1,1,2,1,95,1,785,0,0
2,2,1,1,1,0,1,1,1,1,96,0,914,1,0
1,1,2,2,1,1,1,1,2,1,97,0,972,1,0
1,1,2,2,0,0,0,1,2,1,98,1,1024,1,0
1,2,2,2,0,1,0,1,2,1,99,-1,-1,1,0
