Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
2,2,2,2,-1,-1,-1,1,2,1,1,0,1305,1,0
1,1,2,2,1,1,0,1,2,1,2,1,774,1,0
1,1,1,1,0,0,1,1,1,1,3,0,683,1,0
1,1,1,2,0,0,0,1,1,1,4,0,811,0,0
1,2,2,2,0,1,1,1,2,1,5,0,735,1,0
1,2,2,2,0,0,0,1,2,1,6,0,608,1,0
2,1,1,1,1,1,1,1,1,1,7,0,794,1,0
2,2,2,2,0,1,1,1,2,1,8,0,791,1,0
2,1,2,2,0,1,0,1,2,1,9,0,616,1,0
2,2,1,2,0,1,0,1,2,1,10,1,391,0,0
2,1,1,1,0,1,1,1,1,1,11,1,937,1,0
1,2,2,2,1,0,1,1,2,1,12,0,938,1,0
1,1,2,2,0,1,0,1,2,1,13,1,676,1,0
1,1,2,2,0,0,0,1,2,1,14,1,670,1,0
1,1,2,2,0,0,0,1,2,1,15,1,559,1,0
1,2,1,2,0,1,1,1,1,1,16,0,765,0,0
2,1,2,2,1,1,1,1,2,1,17,1,755,1,0
2,2,2,2,0,1,0,1,2,1,18,1,740,1,0
2,2,2,1,0,0,1,1,1,1,19,1,1172,0,0
2,1,1,1,0,1,0,1,1,1,20,1,791,1,0
2,1,1,1,0,0,0,1,1,1,21,1,989,1,0
1,1,1,1,1,0,0,1,1,1,22,1,713,1,0
2,2,2,2,1,0,1,1,2,1,23,1,1152,1,0
2,1,1,1,0,1,1,1,1,1,24,0,999,1,0
2,1,1,1,0,0,0,1,1,1,25,1,928,1,0
2,1,1,1,0,0,0,1,1,1,26,1,825,1,0
2,1,2,2,0,0,1,1,2,1,27,1,820,1,0
2,2,1,1,0,1,1,1,1,1,28,1,804,1,0
1,1,1,2,1,1,0,1,1,1,29,0,791,0,0
2,2,2,2,1,0,1,1,2,1,30,1,893,1,0
2,2,2,2,0,0,0,1,2,1,31,1,894,1,0
2,1,1,1,0,1,1,1,1,1,32,1,840,1,0
1,2,1,1,1,0,0,1,1,1,33,1,868,1,0
1,1,1,1,0,1,0,1,1,1,34,1,855,1,0
1,1,2,1,0,0,1,1,2,1,35,0,740,0,0
1,2,2,2,0,1,0,1,2,1,36,1,708,1,0
1,2,2,2,0,0,0,1,2,1,37,1,800,1,0
2,1,1,1,1,1,1,1,1,1,38,0,1168,1,0
2,2,2,2,0,1,1,1,2,1,39,1,772,1,0
2,2,2,2,0,0,0,1,2,1,40,1,824,1,0
2,2,2,1,0,0,1,1,1,1,41,1,727,0,0
2,2,2,2,0,0,1,1,2,1,42,1,855,1,0
1,2,2,1,1,1,0,1,2,1,43,1,1013,0,0
1,1,1,1,0,1,1,1,1,1,44,0,850,1,0
1,2,2,1,0,1,1,1,2,1,45,1,1056,0,0
2,1,2,2,1,0,0,1,2,1,46,1,769,1,0
2,1,2,2,0,0,0,1,2,1,47,1,748,1,0
2,1,2,2,0,0,0,1,2,1,48,1,612,1,0
2,2,2,2,0,1,0,1,2,1,49,1,647,1,0
