Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
1,2,2,2,-1,-1,-1,1,2,1,1,1,621,1,1
1,2,1,1,0,0,1,1,1,1,2,1,559,1,1
2,1,2,2,1,1,1,1,2,1,3,1,730,1,1
2,1,2,2,0,0,0,1,2,1,4,1,543,1,1
1,1,2,1,1,1,0,1,2,1,5,1,678,0,1
2,2,1,1,1,1,1,1,1,1,6,1,476,1,1
1,2,2,2,1,0,1,1,2,1,7,1,704,1,1
2,1,2,1,1,1,1,1,1,1,8,1,617,0,1
1,1,2,1,1,1,1,1,2,1,9,1,684,0,1
1,1,2,1,0,0,0,1,2,1,10,1,679,0,1
2,2,2,1,1,1,1,1,1,1,11,1,523,0,1
1,1,1,1,1,1,0,1,1,1,12,0,698,1,1
2,2,2,2,1,0,1,1,2,1,13,1,699,1,1
2,1,2,1,0,1,1,1,1,1,14,1,506,0,1
1,2,2,2,1,1,1,1,2,1,15,1,661,1,1
2,2,2,2,1,1,0,1,2,1,16,1,642,1,1
1,2,2,2,1,1,0,1,2,1,17,1,1137,1,1
2,2,2,2,1,1,0,1,2,1,18,1,624,1,1
2,1,1,1,0,1,1,1,1,1,19,1,445,1,1
2,2,1,1,0,1,0,1,1,1,20,1,600,1,1
1,2,2,1,1,0,1,1,2,1,21,1,1057,0,1
2,1,2,2,1,0,0,1,2,1,22,0,680,1,1
1,1,1,1,1,0,1,1,1,1,23,1,1014,1,1
2,2,2,1,1,1,0,1,1,1,24,1,1342,0,1
2,1,2,2,0,1,1,1,2,1,25,1,674,1,1
1,1,1,1,1,1,1,1,1,1,26,0,944,1,1
1,2,1,2,0,1,0,1,1,1,27,1,986,0,1
2,1,2,2,1,1,1,1,2,1,28,0,1106,1,1
1,2,2,2,1,0,0,1,2,1,29,1,812,1,1
1,1,2,2,0,1,0,1,2,1,30,0,1113,1,1
2,2,2,1,1,0,1,1,1,1,31,0,1103,0,1
1,1,1,1,1,1,0,1,1,1,32,1,652,1,1
2,2,2,2,1,0,1,1,2,1,33,1,721,1,1
1,2,1,1,1,1,1,1,1,1,34,1,742,1,1
1,2,2,2,0,0,1,1,2,1,35,1,786,1,1
2,1,1,1,1,0,1,1,1,1,36,1,435,1,1
2,1,1,2,0,0,1,1,2,1,37,0,626,0,1
1,2,2,2,1,1,0,1,2,1,38,0,860,1,1
1,1,2,2,0,1,0,1,2,1,39,0,1008,1,1
2,1,1,2,1,0,0,1,2,1,40,1,1090,0,1
1,2,2,1,1,0,0,1,2,1,41,0,1019,0,1
2,2,2,2,1,0,0,1,2,1,42,1,1022,1,1
1,1,2,2,1,1,0,1,2,1,43,0,853,1,1
2,1,1,1,1,1,1,1,1,1,44,1,574,1,1
2,2,2,2,0,1,1,1,2,1,45,1,696,1,1
1,1,2,2,1,1,0,1,2,1,46,0,758,1,1
1,1,2,2,0,0,0,1,2,1,47,1,815,1,1
2,2,1,2,1,0,0,1,2,1,48,1,593,0,1
1,1,1,2,1,1,1,1,1,1,49,1,277,0,1
2,2,2,2,1,0,1,1,2,1,50,1,517,1,1
1,2,2,1,1,1,0,1,2,1,51,1,794,0,1
2,2,1,1,1,0,1,1,1,1,52,1,562,1,1
2,2,1,1,0,0,0,1,1,1,53,1,572,1,1
1,1,1,1,1,1,0,1,1,1,54,1,632,1,1
2,1,2,2,1,0,1,1,2,1,55,1,650,1,1
