Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
1,2,1,2,-1,-1,-1,1,1,1,1,1,1189,0,0
1,2,1,1,0,0,0,1,1,1,2,1,1180,1,0
2,1,2,2,1,0,1,1,2,1,3,1,752,1,0
2,1,2,2,0,0,0,1,2,1,4,1,521,1,0
2,1,2,2,0,0,0,1,2,1,5,1,593,1,0
2,2,1,1,0,1,1,1,1,1,6,1,874,1,0
1,2,1,2,1,0,0,1,1,1,7,1,836,0,0
1,1,2,2,0,1,1,1,2,1,8,1,879,1,0
1,2,2,2,0,1,0,1,2,1,9,1,759,1,0
1,2,1,1,0,0,1,1,1,1,10,1,669,1,0
1,2,2,2,0,0,1,1,2,1,11,1,664,1,0
1,2,2,2,0,0,0,1,2,1,12,1,685,1,0
2,1,2,2,1,0,0,1,2,1,13,0,1157,1,0
1,1,1,1,1,1,1,1,1,1,14,0,719,1,0
1,1,2,2,0,0,1,1,2,1,15,1,945,1,0
1,2,1,1,0,1,1,1,1,1,16,0,1536,1,0
1,2,2,2,0,0,1,1,2,1,17,-1,-1,1,0
1,2,1,2,0,0,1,1,1,1,18,1,1430,0,0
1,1,1,1,0,1,0,1,1,1,19,0,637,1,0
1,2,2,2,0,1,1,1,2,1,20,1,1228,1,0
2,2,2,2,1,0,0,1,2,1,21,0,1561,1,0
1,1,2,2,1,0,0,1,2,1,22,1,1256,1,0
1,1,1,1,0,0,1,1,1,1,23,0,1325,1,0
2,2,2,1,1,0,0,1,1,1,24,0,1209,0,0
2,2,2,2,0,0,1,1,2,1,25,0,891,1,0
2,1,1,2,0,1,0,1,2,1,26,-1,-1,0,0
2,1,2,2,0,0,0,1,2,1,27,0,866,1,0
2,2,1,1,0,1,1,1,1,1,28,1,1159,1,0
2,1,1,1,0,1,0,1,1,1,29,0,717,1,0
2,1,2,1,0,0,0,1,1,1,30,0,1082,0,0
1,1,1,1,1,0,0,1,1,1,31,0,1309,1,0
2,1,1,2,1,1,1,1,2,1,32,0,553,0,0
2,2,1,1,0,1,1,1,1,1,33,1,1011,1,0
2,1,2,1,0,1,0,1,1,1,34,1,750,0,0
1,1,2,2,1,0,1,1,2,1,35,1,722,1,0
1,2,2,1,0,1,0,1,2,1,36,1,659,0,0
1,1,1,2,0,1,1,1,1,1,37,1,567,0,0
1,1,2,2,0,0,1,1,2,1,38,1,571,1,0
1,2,1,1,0,1,1,1,1,1,39,1,611,1,0
1,1,1,2,0,1,0,1,1,1,40,1,711,0,0
1,2,1,1,0,1,0,1,1,1,41,1,614,1,0
1,2,2,2,0,0,1,1,2,1,42,1,573,1,0
2,2,2,2,1,0,0,1,2,1,43,0,795,1,0
2,2,2,2,0,0,0,1,2,1,44,1,735,1,0
1,2,2,2,1,1,0,1,2,1,45,0,1032,1,0
1,1,2,2,0,1,0,1,2,1,46,1,893,1,0
1,2,2,1,0,1,0,1,2,1,47,1,716,0,0
2,1,2,2,1,1,0,1,2,1,48,0,1058,1,0
1,1,2,2,1,1,0,1,2,1,49,1,732,1,0
2,2,1,1,1,0,1,1,1,1,50,1,765,1,0
2,2,2,2,0,0,1,1,2,1,51,1,530,1,0
2,2,1,1,0,0,1,1,1,1,52,1,633,1,0
2,2,1,2,0,0,1,1,2,1,53,1,957,0,0
1,1,2,1,1,0,0,1,2,1,54,1,656,0,0
1,1,2,2,0,0,0,1,2,1,55,1,675,1,0
1,2,1,1,0,1,1,1,1,1,56,1,575,1,0
1,1,2,2,0,1,1,1,2,1,57,1,539,1,0
2,2,2,1,1,1,1,1,1,1,58,0,583,0,0
2,2,1,1,0,0,0,1,1,1,59,1,880,1,0
2,2,1,1,0,0,0,1,1,1,60,1,549,1,0
1,2,2,2,1,1,1,1,2,1,61,1,582,1,0
1,1,2,1,0,1,0,1,2,1,62,1,544,0,0
2,1,2,2,1,1,0,1,2,1,63,0,986,1,0
2,2,2,2,0,1,0,1,2,1,64,1,455,1,0
2,1,1,1,0,1,1,1,1,1,65,1,631,1,0
2,1,2,1,0,0,0,1,1,1,66,1,537,0,0
2,2,2,2,0,1,1,1,2,1,67,1,498,1,0
2,1,1,1,0,1,1,1,1,1,68,1,743,1,0
2,1,1,1,0,0,0,1,1,1,69,1,513,1,0
2,2,1,1,0,1,0,1,1,1,70,1,627,1,0
1,2,2,2,1,0,1,1,2,1,71,1,541,1,0
1,2,1,1,0,0,1,1,1,1,72,1,589,1,0
1,2,2,2,0,0,1,1,2,1,73,1,742,1,0
1,2,2,2,0,0,0,1,2,1,74,1,792,1,0
1,1,2,2,0,1,0,1,2,1,75,1,641,1,0
2,2,1,1,1,1,1,1,1,1,76,1,571,1,0
2,1,2,2,0,1,1,1,2,1,77,1,723,1,0
2,2,1,1,0,1,1,1,1,1,78,1,527,1,0
2,1,2,2,0,1,1,1,2,1,79,1,452,1,0
2,1,1,2,0,0,0,1,2,1,80,1,587,0,0
1,2,1,2,1,1,1,1,1,1,81,1,634,0,0
2,2,2,2,1,1,1,1,2,1,82,1,616,1,0
2,2,1,1,0,0,1,1,1,1,83,1,552,1,0
2,1,2,2,0,1,1,1,2,1,84,1,529,1,0
1,1,2,1,1,1,0,1,2,1,85,1,788,0,0
1,2,2,2,0,1,0,1,2,1,86,1,733,1,0
1,1,1,1,0,1,1,1,1,1,87,1,762,1,0
1,2,1,2,0,1,0,1,1,1,88,1,605,0,0
1,1,1,1,0,1,0,1,1,1,89,1,607,1,0
1,2,2,2,0,1,1,1,2,1,90,1,587,1,0
2,1,2,1,1,0,1,1,1,1,91,0,666,0,0
2,1,2,2,0,0,1,1,2,1,92,0,833,1,0
2,2,1,2,0,1,0,1,2,1,93,0,843,0,0
1,2,1,1,1,1,1,1,1,1,94,1,776,1,0
1,1,2,2,0,1,1,1,2,1,95,1,741,1,0
1,1,1,1,0,0,1,1,1,1,96,1,694,1,0
2,1,2,2,1,1,1,1,2,1,97,1,619,1,0
2,1,2,2,0,0,0,1,2,1,98,1,521,1,0
2,2,1,2,0,1,0,1,2,1,99,1,504,0,0
2,2,1,1,0,0,1,1,1,1,100,1,572,1,0
2,1,2,2,0,1,1,1,2,1,101,1,562,1,0
2,2,1,1,0,1,1,1,1,1,102,1,567,1,0
2,1,1,1,0,1,0,1,1,1,103,1,606,1,0
1,1,2,2,1,1,1,1,2,1,104,1,694,1,0
1,1,1,1,0,0,1,1,1,1,105,1,744,1,0
1,2,1,1,0,1,0,1,1,1,106,1,677,1,0
1,2,1,2,0,0,0,1,1,1,107,1,761,0,0
2,2,2,2,1,1,1,1,2,1,108,1,548,1,0
2,2,1,1,0,0,1,1,1,1,109,1,601,1,0
2,2,1,2,0,0,1,1,2,1,110,1,624,0,0
2,1,1,2,0,1,0,1,2,1,111,1,684,0,0
2,2,1,2,0,1,0,1,2,1,112,1,551,0,0
2,2,2,1,0,0,1,1,1,1,113,1,698,0,0
1,2,1,1,1,0,0,1,1,1,114,1,895,1,0
1,2,1,2,0,0,0,1,1,1,115,1,651,0,0
2,1,2,2,1,0,1,1,2,1,116,1,590,1,0
2,1,2,2,0,0,0,1,2,1,117,1,477,1,0
2,1,1,1,0,0,1,1,1,1,118,1,678,1,0
2,2,2,2,0,1,1,1,2,1,119,1,574,1,0
2,1,1,1,0,1,1,1,1,1,120,1,671,1,0
2,1,2,2,0,0,1,1,2,1,121,1,646,1,0
1,2,2,2,1,0,0,1,2,1,122,0,812,1,0
1,2,1,1,0,0,1,1,1,1,123,1,786,1,0
1,1,1,1,0,1,0,1,1,1,124,1,614,1,0
1,1,2,2,0,0,1,1,2,1,125,1,646,1,0
1,1,2,1,0,0,0,1,2,1,126,1,652,0,0
1,1,1,1,0,0,1,1,1,1,127,1,786,1,0
1,1,2,1,0,0,1,1,2,1,128,1,712,0,0
1,1,1,2,0,0,1,1,1,1,129,1,684,0,0
1,1,1,1,0,0,0,1,1,1,130,0,724,1,0
2,1,2,1,-1,-1,-1,1,1,1,131,-1,-1,0,0
1,1,1,1,1,0,0,1,1,1,132,1,766,1,0
1,1,1,1,0,0,0,1,1,1,133,0,920,1,0
1,1,1,1,0,0,0,1,1,1,134,1,584,1,0
1,2,1,2,0,1,0,1,1,1,135,1,614,0,0
2,1,1,2,1,1,1,1,2,1,136,1,777,0,0
2,2,2,2,0,1,0,1,2,1,137,0,763,1,0
2,1,1,1,0,1,1,1,1,1,138,1,686,1,0
1,1,2,1,1,1,1,1,2,1,139,1,628,0,0
2,2,1,1,1,1,1,1,1,1,140,1,829,1,0
2,1,1,2,0,1,1,1,2,1,141,0,620,0,0
1,2,1,2,1,0,1,1,1,1,142,1,584,0,0
1,1,2,2,0,1,1,1,2,1,143,0,605,1,0
1,1,2,2,0,0,0,1,2,1,144,0,638,1,0
2,2,2,2,1,0,0,1,2,1,145,1,754,1,0
2,2,2,2,0,0,0,1,2,1,146,0,717,1,0
2,1,2,2,0,1,0,1,2,1,147,0,635,1,0
1,1,2,2,1,1,0,1,2,1,148,0,696,1,0
1,1,2,2,0,0,0,1,2,1,149,1,659,1,0
1,2,1,1,0,1,1,1,1,1,150,1,876,1,0
1,2,2,2,0,0,1,1,2,1,151,1,585,1,0
1,1,1,1,0,1,1,1,1,1,152,1,730,1,0
1,2,2,1,0,1,1,1,2,1,153,0,1141,0,0
2,2,2,2,1,1,0,1,2,1,154,0,981,1,0
1,2,2,2,1,0,0,1,2,1,155,0,1023,1,0
1,1,2,2,0,1,0,1,2,1,156,0,764,1,0
1,2,2,1,0,1,0,1,2,1,157,1,562,0,0
1,1,1,2,0,1,1,1,1,1,158,1,635,0,0
2,2,1,1,1,0,0,1,1,1,159,0,800,1,0
2,2,1,1,0,0,0,1,1,1,160,0,631,1,0
2,1,2,2,0,1,1,1,2,1,161,1,1059,1,0
2,1,1,2,0,0,0,1,2,1,162,1,569,0,0
2,1,2,2,0,0,0,1,2,1,163,1,592,1,0
2,1,2,2,0,0,0,1,2,1,164,1,468,1,0
2,1,2,1,0,0,1,1,1,1,165,1,470,0,0
1,1,2,2,1,0,1,1,2,1,166,1,603,1,0
1,1,2,2,0,0,0,1,2,1,167,1,743,1,0
1,2,2,2,0,1,0,1,2,1,168,0,689,1,0
1,2,1,2,0,0,1,1,1,1,169,1,672,0,0
2,1,2,2,1,1,1,1,2,1,170,1,726,1,0
2,2,1,1,0,1,1,1,1,1,171,1,650,1,0
2,2,1,1,0,0,0,1,1,1,172,0,774,1,0
2,2,2,2,0,0,1,1,2,1,173,1,830,1,0
1,1,2,2,1,1,0,1,2,1,174,0,656,1,0
1,1,1,1,0,0,1,1,1,1,175,1,642,1,0
1,1,1,2,0,0,0,1,1,1,176,1,757,0,0
1,2,2,2,0,1,1,1,2,1,177,1,675,1,0
1,2,2,2,0,0,0,1,2,1,178,1,600,1,0
1,2,1,1,0,0,1,1,1,1,179,1,615,1,0
2,1,2,2,1,0,1,1,2,1,180,1,607,1,0
2,2,2,2,0,1,0,1,2,1,181,1,796,1,0
