Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
1,2,2,2,-1,-1,-1,1,2,1,1,1,758,1,1
1,1,1,2,0,1,1,1,1,1,2,0,1091,0,1
2,2,1,2,1,1,1,1,2,1,3,1,1065,0,1
1,2,2,2,1,0,0,1,2,1,4,1,708,1,1
2,1,1,1,1,1,1,1,1,1,5,1,963,1,1
1,1,1,2,1,1,0,1,1,1,6,1,722,0,1
2,2,1,1,1,0,0,1,1,1,7,1,863,1,1
1,2,2,2,1,0,1,1,2,1,8,1,603,1,1
1,2,1,1,0,0,1,1,1,1,9,1,1160,1,1
2,2,1,2,1,1,1,1,2,1,10,1,704,0,1
1,1,1,1,1,0,1,1,1,1,11,1,876,1,1
2,1,2,1,1,0,0,1,1,1,12,1,967,0,1
1,2,2,2,1,0,1,1,2,1,13,1,891,1,1
2,1,1,1,1,1,1,1,1,1,14,1,848,1,1
1,2,2,1,1,1,1,1,2,1,15,1,713,0,1
2,1,2,1,1,0,1,1,1,1,16,0,947,0,1
2,2,1,1,0,1,0,1,1,1,17,1,842,1,1
1,1,2,2,1,0,1,1,2,1,18,1,626,1,1
2,2,1,1,1,1,1,1,1,1,19,1,1140,1,1
1,1,2,2,1,0,1,1,2,1,20,1,643,1,1
2,1,1,1,1,1,1,1,1,1,21,1,832,1,1
1,1,2,2,1,0,1,1,2,1,22,1,856,1,1
2,1,1,1,1,0,1,1,1,1,23,1,1030,1,1
1,2,1,1,1,0,0,1,1,1,24,1,1093,1,1
1,1,2,1,0,1,1,1,2,1,25,1,510,0,1
2,2,2,2,1,1,0,1,2,1,26,1,822,1,1
1,2,2,1,1,0,0,1,2,1,27,1,668,0,1
2,1,1,1,1,0,1,1,1,1,28,1,740,1,1
1,2,2,2,1,1,1,1,2,1,29,1,762,1,1
2,2,2,1,1,0,1,1,1,1,30,1,824,0,1
2,2,1,1,0,0,0,1,1,1,31,1,757,1,1
1,1,2,2,1,0,1,1,2,1,32,1,866,1,1
1,2,1,2,0,1,1,1,1,1,33,1,1021,0,1
2,1,1,1,1,1,0,1,1,1,34,1,683,1,1
1,1,2,2,1,1,1,1,2,1,35,1,704,1,1
2,2,1,2,1,0,0,1,2,1,36,0,1010,0,1
2,1,1,1,0,1,1,1,1,1,37,1,747,1,1
1,1,2,2,1,0,1,1,2,1,38,1,619,1,1
2,2,2,2,1,0,0,1,2,1,39,0,1063,1,1
1,2,1,2,1,1,1,1,1,1,40,1,616,0,1
2,1,2,2,1,0,1,1,2,1,41,1,930,1,1
1,1,2,1,1,0,0,1,2,1,42,1,1131,0,1
2,1,1,2,1,1,0,1,2,1,43,1,864,0,1
1,2,2,2,1,1,0,1,2,1,44,1,1120,1,1
1,2,2,2,0,0,0,1,2,1,45,0,1037,1,1
2,1,2,1,1,1,1,1,1,1,46,1,966,0,1
1,1,1,1,1,1,0,1,1,1,47,1,767,1,1
2,2,1,1,1,1,0,1,1,1,48,1,959,1,1
1,2,1,1,1,1,0,1,1,1,49,1,918,1,1
2,1,2,2,1,1,1,1,2,1,50,1,1158,1,1
2,1,2,2,0,0,0,1,2,1,51,1,999,1,1
1,1,1,2,1,0,1,1,1,1,52,1,781,0,1
2,2,2,2,1,1,1,1,2,1,53,1,964,1,1
1,2,1,1,1,0,1,1,1,1,54,1,692,1,1
2,2,2,2,1,0,1,1,2,1,55,0,1195,1,1
1,1,2,1,1,1,0,1,2,1,56,1,884,0,1
1,1,1,1,0,0,1,1,1,1,57,1,691,1,1
2,2,1,2,1,0,1,1,2,1,58,0,1087,0,1
2,2,1,2,0,0,0,1,2,1,59,1,713,0,1
1,1,2,2,1,1,0,1,2,1,60,1,715,1,1
1,2,2,2,0,1,0,1,2,1,61,1,645,1,1
2,2,1,1,1,1,1,1,1,1,62,1,865,1,1
1,1,2,1,1,1,1,1,2,1,63,1,687,0,1
2,1,1,1,1,1,1,1,1,1,64,1,592,1,1
1,1,1,1,1,0,0,1,1,1,65,0,1104,1,1
2,2,2,2,1,1,1,1,2,1,66,1,1013,1,1
1,1,1,1,1,1,1,1,1,1,67,1,946,1,1
1,1,1,1,0,0,0,1,1,1,68,1,703,1,1
2,1,1,1,1,0,0,1,1,1,69,1,908,1,1
1,1,1,1,1,1,0,1,1,1,70,1,923,1,1
2,1,1,2,1,1,1,1,2,1,71,0,939,0,1
1,1,1,1,1,0,1,1,1,1,72,1,939,1,1
2,2,1,1,1,0,0,1,1,1,73,1,893,1,1
1,2,1,2,1,1,0,1,1,1,74,1,1359,0,1
1,1,2,2,0,1,1,1,2,1,75,1,1054,1,1
1,1,2,2,0,0,0,1,2,1,76,1,625,1,1
2,2,1,1,1,0,1,1,1,1,77,1,817,1,1
1,1,1,2,1,0,0,1,1,1,78,1,1088,0,1
2,2,2,2,1,1,1,1,2,1,79,1,1262,1,1
2,1,2,2,0,1,0,1,2,1,80,1,936,1,1
2,2,2,2,0,1,0,1,2,1,81,0,943,1,1
1,2,1,2,1,0,1,1,1,1,82,1,770,0,1
2,1,2,2,1,1,1,1,2,1,83,1,754,1,1
1,2,1,1,1,0,1,1,1,1,84,1,778,1,1
2,2,1,1,1,0,0,1,1,1,85,1,674,1,1
1,2,1,1,1,1,0,1,1,1,86,0,1116,1,1
2,2,2,1,1,1,0,1,1,1,87,1,1115,0,1
1,1,1,1,1,1,0,1,1,1,88,1,881,1,1
1,1,2,1,0,0,1,1,2,1,89,1,536,0,1
2,1,2,2,1,0,0,1,2,1,90,1,755,1,1
1,1,2,2,1,1,0,1,2,1,91,1,678,1,1
2,1,2,2,1,1,0,1,2,1,92,1,985,1,1
1,1,1,1,1,1,1,1,1,1,93,1,996,1,1
2,1,1,1,1,0,0,1,1,1,94,1,688,1,1
1,2,2,2,1,1,1,1,2,1,95,1,658,1,1
2,2,1,1,1,0,1,1,1,1,96,1,661,1,1
2,2,1,1,0,0,0,1,1,1,97,1,969,1,1
1,2,1,2,1,0,0,1,1,1,98,1,828,0,1
2,2,1,1,1,1,0,1,1,1,99,1,1200,1,1
1,1,2,2,1,1,1,1,2,1,100,1,1157,1,1
1,2,1,1,0,1,1,1,1,1,101,1,621,1,1
