Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
2,1,1,1,-1,-1,-1,1,1,1,1,1,904,1,0
2,2,2,2,0,1,1,1,2,1,2,1,625,1,0
2,2,2,2,0,0,0,1,2,1,3,1,569,1,0
1,1,2,2,1,0,0,1,2,1,4,0,1201,1,0
2,1,2,2,1,1,0,1,2,1,5,1,874,1,0
2,2,1,1,0,1,1,1,1,1,6,1,740,1,0
2,2,1,2,0,0,1,1,2,1,7,1,750,0,0
1,2,1,1,1,0,1,1,1,1,8,1,934,1,0
1,1,2,2,0,1,1,1,2,1,9,1,1397,1,0
1,1,1,1,0,0,1,1,1,1,10,1,942,1,0
1,1,2,2,0,0,1,1,2,1,11,1,901,1,0
2,2,2,2,1,1,0,1,2,1,12,1,711,1,0
2,1,2,2,0,1,0,1,2,1,13,1,787,1,0
2,2,1,1,0,1,1,1,1,1,14,1,875,1,0
1,1,2,2,1,1,1,1,2,1,15,0,1171,1,0
1,2,1,1,0,1,1,1,1,1,16,1,1114,1,0
1,2,2,2,0,0,1,1,2,1,17,1,1113,1,0
1,2,1,1,0,0,1,1,1,1,18,1,906,1,0
1,2,1,1,0,0,0,1,1,1,19,-1,-1,1,0
2,2,2,2,1,0,1,1,2,1,20,1,820,1,0
2,1,1,2,0,1,0,1,2,1,21,1,683,0,0
2,1,1,1,0,0,1,1,1,1,22,1,737,1,0
2,2,1,2,0,1,1,1,2,1,23,1,679,0,0
2,2,2,1,0,0,1,1,1,1,24,1,730,0,0
2,2,2,2,0,0,1,1,2,1,25,1,709,1,0
1,2,1,1,1,1,1,1,1,1,26,1,689,1,0
2,2,2,1,1,0,0,1,1,1,27,0,1116,0,0
2,1,2,2,0,1,1,1,2,1,28,1,1009,1,0
2,1,1,1,0,0,1,1,1,1,29,1,902,1,0
2,1,2,1,0,0,0,1,1,1,30,1,972,0,0
2,2,2,2,0,1,1,1,2,1,31,1,654,1,0
2,1,1,1,0,1,1,1,1,1,32,1,842,1,0
2,1,2,2,0,0,1,1,2,1,33,1,733,1,0
2,1,1,2,0,0,0,1,2,1,34,1,599,0,0
1,2,1,2,1,1,1,1,1,1,35,1,1254,0,0
1,1,2,2,0,1,1,1,2,1,36,1,975,1,0
1,1,1,1,0,0,1,1,1,1,37,1,697,1,0
1,2,2,1,0,1,1,1,2,1,38,1,828,0,0
1,1,1,2,0,1,1,1,1,1,39,1,748,0,0
2,2,1,2,1,1,1,1,2,1,40,1,674,0,0
1,2,2,2,1,1,0,1,2,1,41,1,564,1,0
1,2,2,1,0,0,0,1,2,1,42,1,556,0,0
1,1,2,2,0,1,0,1,2,1,43,1,370,1,0
1,2,1,1,0,1,1,1,1,1,44,1,596,1,0
2,1,2,1,1,0,0,1,1,1,45,1,900,0,0
2,2,2,2,0,1,1,1,2,1,46,1,749,1,0
2,1,1,1,0,1,1,1,1,1,47,0,621,1,0
2,1,1,1,0,0,0,1,1,1,48,1,637,1,0
1,2,1,1,1,0,0,1,1,1,49,1,689,1,0
1,1,2,2,0,1,1,1,2,1,50,1,519,1,0
1,1,1,1,0,0,1,1,1,1,51,1,504,1,0
1,2,1,1,0,1,0,1,1,1,52,1,678,1,0
1,2,2,2,0,0,1,1,2,1,53,1,712,1,0
1,1,1,2,0,1,1,1,1,1,54,1,430,0,0
2,1,1,1,1,0,0,1,1,1,55,1,622,1,0
2,1,1,1,0,0,0,1,1,1,56,1,820,1,0
2,1,2,2,0,0,1,1,2,1,57,1,471,1,0
1,2,1,1,1,0,1,1,1,1,58,0,578,1,0
1,1,1,2,0,1,0,1,1,1,59,0,1127,0,0
1,1,1,1,0,0,0,1,1,1,60,1,869,1,0
1,1,2,1,0,0,1,1,2,1,61,1,867,0,0
1,2,2,1,0,1,0,1,2,1,62,0,955,0,0
2,1,1,2,1,1,0,1,2,1,63,1,609,0,0
1,1,2,1,1,1,0,1,2,1,64,1,589,0,0
2,1,1,1,1,1,1,1,1,1,65,0,1312,1,0
1,2,2,2,1,1,1,1,2,1,66,1,757,1,0
1,1,1,1,0,1,1,1,1,1,67,1,575,1,0
1,2,2,2,0,1,1,1,2,1,68,1,789,1,0
1,1,1,1,0,1,1,1,1,1,69,1,424,1,0
2,2,1,1,1,1,0,1,1,1,70,1,840,1,0
2,2,2,2,0,0,1,1,2,1,71,1,690,1,0
1,2,1,2,1,0,1,1,1,1,72,1,665,0,0
1,2,2,2,0,0,1,1,2,1,73,1,453,1,0
1,2,2,1,0,0,0,1,2,1,74,0,489,0,0
1,2,1,1,0,0,1,1,1,1,75,1,698,1,0
2,2,1,1,1,0,0,1,1,1,76,1,891,1,0
2,2,1,1,0,0,0,1,1,1,77,1,689,1,0
2,1,1,1,0,1,0,1,1,1,78,1,713,1,0
2,2,2,2,0,1,1,1,2,1,79,1,554,1,0
1,1,1,2,1,0,1,1,1,1,80,1,887,0,0
1,2,2,2,0,1,1,1,2,1,81,1,492,1,0
1,1,1,1,0,1,1,1,1,1,82,1,597,1,0
1,1,1,1,0,0,0,1,1,1,83,1,629,1,0
2,1,2,2,1,1,1,1,2,1,84,1,692,1,0
2,1,1,1,0,0,1,1,1,1,85,1,686,1,0
2,1,1,1,0,0,0,1,1,1,86,0,962,1,0
1,1,1,1,1,0,0,1,1,1,87,1,704,1,0
2,2,2,2,1,1,1,1,2,1,88,1,617,1,0
2,2,2,1,0,0,1,1,1,1,89,1,752,0,0
2,1,2,2,0,1,1,1,2,1,90,1,627,1,0
2,1,1,1,0,0,1,1,1,1,91,1,787,1,0
2,2,2,2,0,1,1,1,2,1,92,1,565,1,0
2,2,1,1,0,0,1,1,1,1,93,1,899,1,0
2,2,1,1,0,0,0,1,1,1,94,1,740,1,0
2,1,1,1,0,1,0,1,1,1,95,1,671,1,0
1,1,2,2,1,1,1,1,2,1,96,1,687,1,0
1,2,2,2,0,1,0,1,2,1,97,1,691,1,0
1,1,1,1,0,1,1,1,1,1,98,1,482,1,0
1,1,1,1,0,0,0,1,1,1,99,1,744,1,0
1,1,1,1,0,0,0,1,1,1,100,1,959,1,0
1,2,2,2,0,1,1,1,2,1,101,1,589,1,0
1,2,1,1,0,0,1,1,1,1,102,1,613,1,0
2,2,2,2,1,0,1,1,2,1,103,1,520,1,0
2,1,2,2,0,1,0,1,2,1,104,1,648,1,0
2,1,1,2,0,0,0,1,2,1,105,1,1054,0,0
2,2,1,1,0,1,1,1,1,1,106,1,662,1,0
2,2,1,1,0,0,0,1,1,1,107,1,716,1,0
1,1,1,1,1,0,0,1,1,1,108,0,868,1,0
1,1,2,2,0,0,1,1,2,1,109,1,551,1,0
1,1,2,1,0,0,0,1,2,1,110,0,761,0,0
1,1,1,2,0,0,1,1,1,1,111,1,621,0,0
1,2,1,1,0,1,0,1,1,1,112,1,750,1,0
1,2,1,1,0,0,0,1,1,1,113,1,762,1,0
2,1,1,1,1,0,0,1,1,1,114,1,949,1,0
2,2,1,1,0,1,0,1,1,1,115,1,818,1,0
2,2,2,2,0,0,1,1,2,1,116,1,569,1,0
2,1,1,2,0,1,0,1,2,1,117,1,570,0,0
2,2,2,2,0,1,0,1,2,1,118,1,562,1,0
2,1,2,1,0,1,1,1,1,1,119,1,696,0,0
2,2,2,1,0,1,0,1,1,1,120,1,789,0,0
2,2,2,2,0,0,1,1,2,1,121,1,738,1,0
1,1,1,1,1,1,1,1,1,1,122,1,666,1,0
1,2,1,1,0,1,0,1,1,1,123,1,665,1,0
1,2,2,1,0,0,1,1,2,1,124,1,997,0,0
1,1,2,2,0,1,0,1,2,1,125,0,900,1,0
1,2,2,1,0,1,0,1,2,1,126,1,943,0,0
1,2,1,1,0,0,1,1,1,1,127,1,747,1,0
2,1,2,2,1,0,1,1,2,1,128,1,894,1,0
2,2,1,2,0,1,0,1,2,1,129,1,733,0,0
2,1,2,2,0,1,0,1,2,1,130,1,661,1,0
1,1,2,2,-1,-1,-1,1,2,1,131,1,1159,1,0
2,2,2,2,1,1,0,1,2,1,132,1,620,1,0
1,2,1,1,1,0,1,1,1,1,133,1,623,1,0
1,1,2,2,0,1,1,1,2,1,134,1,630,1,0
1,2,1,1,0,1,1,1,1,1,135,1,744,1,0
2,1,2,2,1,1,1,1,2,1,136,1,646,1,0
2,2,2,2,0,1,0,1,2,1,137,1,766,1,0
1,1,1,1,1,1,1,1,1,1,138,1,892,1,0
1,2,2,2,0,1,1,1,2,1,139,1,1160,1,0
2,1,1,2,1,1,0,1,2,1,140,1,598,0,0
1,1,1,1,1,0,1,1,1,1,141,1,1003,1,0
1,2,2,2,0,1,1,1,2,1,142,1,661,1,0
1,1,1,1,0,1,1,1,1,1,143,1,614,1,0
2,1,1,1,1,1,0,1,1,1,144,1,805,1,0
2,1,1,1,0,0,0,1,1,1,145,1,733,1,0
2,2,2,2,0,1,1,1,2,1,146,1,757,1,0
2,1,1,2,0,1,0,1,2,1,147,1,669,0,0
2,1,1,1,0,0,1,1,1,1,148,1,698,1,0
2,1,1,2,0,0,1,1,2,1,149,1,540,0,0
2,1,2,1,0,0,1,1,1,1,150,1,655,0,0
1,2,2,2,1,1,1,1,2,1,151,1,641,1,0
2,1,2,1,1,0,1,1,1,1,152,1,893,0,0
2,1,1,1,0,0,0,1,1,1,153,1,756,1,0
2,1,2,2,0,0,1,1,2,1,154,1,735,1,0
2,2,1,2,0,1,0,1,2,1,155,1,685,0,0
2,2,2,2,0,0,0,1,2,1,156,0,835,1,0
