Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
1,2,1,1,-1,-1,-1,1,1,1,1,1,970,1,0
1,1,2,1,0,1,1,1,2,1,2,1,542,0,0
1,2,1,1,0,1,1,1,1,1,3,1,951,1,0
1,2,2,2,0,0,1,1,2,1,4,1,499,1,0
1,2,1,1,0,0,1,1,1,1,5,1,970,1,0
2,2,2,2,1,0,1,1,2,1,6,1,645,1,0
2,1,1,1,0,1,1,1,1,1,7,1,815,1,0
1,2,2,1,1,1,1,1,2,1,8,1,681,0,0
2,2,2,1,1,1,1,1,1,1,9,0,1161,0,0
2,1,2,2,0,1,1,1,2,1,10,1,565,1,0
2,1,1,2,0,0,0,1,2,1,11,1,639,0,0
2,1,2,2,0,0,0,1,2,1,12,1,743,1,0
2,1,2,2,0,0,0,1,2,1,13,1,703,1,0
1,2,1,1,1,0,1,1,1,1,14,1,1048,1,0
2,1,1,1,1,0,0,1,1,1,15,1,816,1,0
1,2,1,1,1,0,0,1,1,1,16,1,914,1,0
1,2,1,2,0,0,0,1,1,1,17,1,920,0,0
1,2,1,1,0,0,0,1,1,1,18,1,1029,1,0
1,1,2,2,0,1,1,1,2,1,19,1,513,1,0
1,1,2,2,0,0,0,1,2,1,20,1,460,1,0
2,1,1,1,1,0,1,1,1,1,21,1,884,1,0
1,2,2,2,1,1,1,1,2,1,22,1,578,1,0
2,1,2,2,1,0,0,1,2,1,23,1,433,1,0
2,2,1,1,0,1,1,1,1,1,24,1,580,1,0
1,1,2,1,1,1,1,1,2,1,25,1,775,0,0
1,2,2,2,0,1,0,1,2,1,26,1,602,1,0
1,2,1,1,0,0,1,1,1,1,27,1,628,1,0
2,1,1,2,1,0,1,1,2,1,28,0,843,0,0
1,1,1,1,1,1,1,1,1,1,29,0,672,1,0
1,1,1,1,0,0,0,1,1,1,30,1,1108,1,0
1,1,2,2,0,0,1,1,2,1,31,1,625,1,0
1,1,1,1,0,0,1,1,1,1,32,1,909,1,0
1,1,1,2,0,0,0,1,1,1,33,1,1069,0,0
1,2,1,2,0,1,0,1,1,1,34,1,1356,0,0
1,1,2,2,0,1,1,1,2,1,35,1,585,1,0
1,1,1,1,0,0,1,1,1,1,36,1,908,1,0
2,2,1,1,1,0,0,1,1,1,37,0,933,1,0
2,2,1,2,0,0,1,1,2,1,38,1,1153,0,0
2,1,1,2,0,1,0,1,2,1,39,1,620,0,0
2,2,1,2,0,1,0,1,2,1,40,1,687,0,0
2,2,2,2,0,0,0,1,2,1,41,1,635,1,0
