Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
1,1,2,2,-1,-1,-1,1,2,1,1,1,692,1,0
1,2,1,2,0,1,1,1,1,1,2,1,807,0,0
2,1,2,2,1,0,1,1,2,1,3,0,940,1,0
2,1,1,1,0,0,1,1,1,1,4,1,633,1,0
2,2,2,2,0,1,1,1,2,1,5,0,893,1,0
2,1,1,2,0,1,0,1,2,1,6,1,716,0,0
1,2,2,2,1,0,0,1,2,1,7,0,819,1,0
1,1,1,1,0,1,1,1,1,1,8,0,701,1,0
1,1,1,1,0,0,0,1,1,1,9,1,663,1,0
2,2,1,2,1,0,1,1,2,1,10,0,1121,0,0
1,1,2,2,1,0,0,1,2,1,11,1,804,1,0
1,1,2,1,0,0,0,1,2,1,12,1,666,0,0
1,1,2,2,0,0,0,1,2,1,13,1,685,1,0
1,2,1,1,0,1,1,1,1,1,14,1,655,1,0
1,1,1,1,0,1,0,1,1,1,15,1,801,1,0
1,1,2,1,0,0,1,1,2,1,16,1,707,0,0
1,2,2,2,0,1,0,1,2,1,17,0,876,1,0
2,2,2,2,1,0,0,1,2,1,18,1,1226,1,0
2,1,1,1,0,1,1,1,1,1,19,1,703,1,0
2,1,2,1,0,0,0,1,1,1,20,1,661,0,0
2,2,1,1,0,1,0,1,1,1,21,1,669,1,0
2,1,2,2,0,1,1,1,2,1,22,1,833,1,0
1,1,2,2,1,1,0,1,2,1,23,1,865,1,0
2,2,1,2,1,1,0,1,2,1,24,0,1038,0,0
2,1,2,1,0,1,1,1,1,1,25,1,764,0,0
2,2,2,2,0,1,1,1,2,1,26,1,874,1,0
2,2,1,1,0,0,1,1,1,1,27,1,606,1,0
2,2,1,2,0,0,1,1,2,1,28,0,1220,0,0
2,2,2,2,0,0,0,1,2,1,29,1,891,1,0
2,1,1,2,0,1,0,1,2,1,30,1,841,0,0
1,1,2,1,1,0,0,1,2,1,31,1,769,0,0
1,1,2,2,0,0,0,1,2,1,32,1,959,1,0
1,2,1,1,0,1,1,1,1,1,33,1,635,1,0
2,2,1,1,1,0,0,1,1,1,34,1,703,1,0
2,1,2,2,0,1,1,1,2,1,35,0,948,1,0
2,2,1,2,0,1,0,1,2,1,36,0,844,0,0
2,2,1,2,0,0,0,1,2,1,37,0,733,0,0
1,2,1,2,1,1,1,1,1,1,38,1,801,0,0
2,2,1,1,1,0,0,1,1,1,39,1,786,1,0
1,2,2,2,1,1,1,1,2,1,40,1,758,1,0
2,1,1,1,1,1,1,1,1,1,41,1,705,1,0
2,1,1,1,0,0,0,1,1,1,42,1,725,1,0
1,2,2,1,1,0,1,1,2,1,43,1,797,0,0
1,1,2,2,0,1,0,1,2,1,44,1,958,1,0
2,2,1,1,1,1,1,1,1,1,45,1,917,1,0
2,1,2,2,0,1,1,1,2,1,46,1,958,1,0
2,2,1,1,0,1,1,1,1,1,47,1,685,1,0
2,1,2,2,0,1,1,1,2,1,48,1,806,1,0
1,1,2,2,1,0,0,1,2,1,49,1,733,1,0
1,1,2,2,0,0,0,1,2,1,50,1,677,1,0
1,1,1,1,0,0,1,1,1,1,51,1,733,1,0
1,2,2,2,0,1,1,1,2,1,52,1,620,1,0
1,2,1,2,0,0,1,1,1,1,53,1,651,0,0
1,2,1,1,0,0,0,1,1,1,54,1,612,1,0
1,1,2,2,0,1,1,1,2,1,55,1,624,1,0
1,1,2,2,0,0,0,1,2,1,56,1,689,1,0
2,1,2,1,1,1,1,1,1,1,57,1,595,0,0
2,1,2,2,0,0,1,1,2,1,58,1,867,1,0
2,1,2,1,0,0,1,1,1,1,59,1,573,0,0
2,2,1,1,0,1,0,1,1,1,60,1,777,1,0
1,1,2,2,1,1,1,1,2,1,61,1,795,1,0
1,2,2,2,0,1,0,1,2,1,62,1,708,1,0
1,2,2,1,0,0,0,1,2,1,63,1,630,0,0
1,2,2,2,0,0,0,1,2,1,64,1,927,1,0
1,2,1,1,0,0,1,1,1,1,65,1,639,1,0
1,1,2,2,0,1,1,1,2,1,66,1,697,1,0
1,1,2,2,0,0,0,1,2,1,67,1,596,1,0
2,1,1,1,1,0,1,1,1,1,68,1,638,1,0
1,2,2,2,1,0,1,1,2,1,69,1,709,1,0
1,1,1,1,0,1,1,1,1,1,70,1,654,1,0
1,2,1,2,0,1,0,1,1,1,71,1,626,0,0
2,1,2,2,1,1,1,1,2,1,72,0,915,1,0
2,2,2,2,0,1,0,1,2,1,73,1,827,1,0
2,1,2,2,0,1,0,1,2,1,74,0,937,1,0
2,1,1,1,0,0,1,1,1,1,75,1,608,1,0
1,1,2,2,1,0,1,1,2,1,76,1,890,1,0
1,2,1,1,0,1,1,1,1,1,77,1,696,1,0
2,1,2,2,1,0,1,1,2,1,78,0,787,1,0
2,1,2,1,0,0,1,1,1,1,79,1,576,0,0
2,1,1,1,0,0,0,1,1,1,80,1,616,1,0
2,1,1,1,0,0,0,1,1,1,81,1,589,1,0
2,1,1,1,0,0,0,1,1,1,82,1,598,1,0
2,2,2,2,0,1,1,1,2,1,83,1,887,1,0
1,1,1,1,1,1,1,1,1,1,84,1,920,1,0
2,1,1,2,1,0,1,1,2,1,85,1,960,0,0
2,2,2,1,0,1,1,1,1,1,86,0,857,0,0
2,1,2,2,0,1,1,1,2,1,87,1,832,1,0
2,1,1,1,0,0,1,1,1,1,88,1,637,1,0
2,1,2,2,0,0,1,1,2,1,89,0,991,1,0
2,2,1,1,0,1,1,1,1,1,90,1,621,1,0
2,1,1,1,0,1,0,1,1,1,91,1,690,1,0
