Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
2,1,2,2,-1,-1,-1,1,2,1,1,1,990,1,1
2,2,2,2,0,1,0,1,2,1,2,0,598,1,1
2,1,2,2,0,1,0,1,2,1,3,1,842,1,1
1,2,2,2,1,0,0,1,2,1,4,1,677,1,1
2,2,1,1,1,0,1,1,1,1,5,1,608,1,1
1,1,1,2,1,0,0,1,1,1,6,1,569,0,1
1,1,1,1,0,0,0,1,1,1,7,1,403,1,1
2,2,1,1,1,1,0,1,1,1,8,1,886,1,1
1,2,1,2,1,0,0,1,1,1,9,1,496,0,1
2,1,1,1,1,1,0,1,1,1,10,1,599,1,1
2,2,1,1,0,1,0,1,1,1,11,1,711,1,1
1,2,2,1,1,0,1,1,2,1,12,1,540,0,1
2,2,2,1,1,1,1,1,1,1,13,1,703,0,1
1,2,1,1,1,0,0,1,1,1,14,1,561,1,1
1,1,2,1,0,1,1,1,2,1,15,1,417,0,1
1,1,2,2,0,0,0,1,2,1,16,0,544,1,1
2,2,1,1,1,1,1,1,1,1,17,1,775,1,1
1,1,2,1,1,0,1,1,2,1,18,1,563,0,1
2,1,1,1,1,0,1,1,1,1,19,1,742,1,1
1,1,2,2,1,0,1,1,2,1,20,1,564,1,1
2,2,1,1,1,0,1,1,1,1,21,1,567,1,1
1,1,1,1,1,1,0,1,1,1,22,1,512,1,1
1,2,2,2,0,1,1,1,2,1,23,1,664,1,1
2,2,2,1,1,0,1,1,1,1,24,1,654,0,1
1,1,1,1,1,1,0,1,1,1,25,1,646,1,1
1,2,1,1,0,1,0,1,1,1,26,0,595,1,1
1,1,1,1,0,1,0,1,1,1,27,0,631,1,1
2,2,1,1,1,1,0,1,1,1,28,1,771,1,1
1,1,1,2,1,1,0,1,1,1,29,1,635,0,1
2,1,2,2,1,0,1,1,2,1,30,0,707,1,1
1,2,2,2,1,0,0,1,2,1,31,1,536,1,1
1,2,1,1,0,0,1,1,1,1,32,0,595,1,1
2,2,1,2,1,0,1,1,2,1,33,1,588,0,1
1,2,1,1,1,0,1,1,1,1,34,1,495,1,1
2,1,2,2,1,0,1,1,2,1,35,1,478,1,1
1,2,2,2,1,1,0,1,2,1,36,1,500,1,1
2,2,2,2,1,1,0,1,2,1,37,1,506,1,1
1,1,1,1,1,0,1,1,1,1,38,1,465,1,1
2,1,1,1,1,0,0,1,1,1,39,0,774,1,1
2,1,2,2,0,0,1,1,2,1,40,0,591,1,1
1,1,1,1,1,0,1,1,1,1,41,1,381,1,1
2,1,2,1,1,0,0,1,1,1,42,1,593,0,1
2,1,1,2,0,0,1,1,2,1,43,0,799,0,1
1,1,2,2,1,1,0,1,2,1,44,1,537,1,1
2,1,2,2,1,1,0,1,2,1,45,1,689,1,1
1,2,1,1,1,1,1,1,1,1,46,1,511,1,1
2,2,1,1,1,1,0,1,1,1,47,1,581,1,1
1,2,1,1,1,0,0,1,1,1,48,1,652,1,1
2,2,1,1,1,1,0,1,1,1,49,1,569,1,1
1,2,1,1,1,1,0,1,1,1,50,1,461,1,1
1,1,2,2,0,1,1,1,2,1,51,1,498,1,1
1,1,1,1,0,0,1,1,1,1,52,1,522,1,1
2,1,2,2,1,0,1,1,2,1,53,1,744,1,1
1,1,2,2,1,1,0,1,2,1,54,1,493,1,1
2,1,1,1,1,1,1,1,1,1,55,1,636,1,1
1,2,1,2,1,1,0,1,1,1,56,1,426,0,1
2,2,1,1,1,1,0,1,1,1,57,1,563,1,1
1,2,1,1,1,0,0,1,1,1,58,0,789,1,1
1,2,1,1,0,0,0,1,1,1,59,1,488,1,1
