Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
2,1,2,1,-1,-1,-1,1,1,1,1,1,1077,0,0
2,2,1,2,0,1,1,1,2,1,2,0,986,0,0
1,2,2,2,1,1,0,1,2,1,3,1,746,1,0
1,2,1,1,0,0,1,1,1,1,4,1,713,1,0
2,2,1,1,1,0,0,1,1,1,5,1,834,1,0
2,1,1,1,0,1,0,1,1,1,6,1,807,1,0
2,1,2,2,0,0,1,1,2,1,7,1,1063,1,0
1,2,2,1,1,1,0,1,2,1,8,1,847,0,0
1,1,1,2,0,1,1,1,1,1,9,1,1063,0,0
1,1,1,1,0,0,0,1,1,1,10,1,981,1,0
2,1,1,1,1,1,0,1,1,1,11,1,1088,1,0
2,2,2,2,0,1,1,1,2,1,12,1,700,1,0
2,2,2,2,0,0,0,1,2,1,13,1,987,1,0
1,2,1,1,1,0,1,1,1,1,14,1,867,1,0
1,1,1,1,0,1,0,1,1,1,15,1,829,1,0
1,1,1,1,0,0,0,1,1,1,16,1,825,1,0
2,2,2,2,1,1,1,1,2,1,17,1,838,1,0
2,1,1,2,0,1,0,1,2,1,18,1,723,0,0
1,2,2,2,1,1,0,1,2,1,19,1,1159,1,0
1,2,2,2,0,0,0,1,2,1,20,1,1068,1,0
1,2,2,2,0,0,0,1,2,1,21,1,1014,1,0
2,1,1,1,1,0,1,1,1,1,22,1,936,1,0
2,1,2,2,0,0,1,1,2,1,23,1,986,1,0
1,2,2,1,1,0,0,1,2,1,24,1,963,0,0
1,2,2,1,0,0,0,1,2,1,25,1,911,0,0
1,1,1,1,0,1,1,1,1,1,26,1,878,1,0
2,2,2,2,1,1,1,1,2,1,27,1,728,1,0
2,2,2,2,0,0,0,1,2,1,28,1,1092,1,0
2,2,2,1,0,0,1,1,1,1,29,0,1106,0,0
2,1,1,1,0,1,0,1,1,1,30,1,996,1,0
2,2,2,1,0,1,0,1,1,1,31,0,1112,0,0
2,1,2,2,0,1,1,1,2,1,32,1,1119,1,0
1,2,2,2,1,0,0,1,2,1,33,1,1265,1,0
1,2,2,2,0,0,0,1,2,1,34,1,1249,1,0
1,1,1,1,0,1,1,1,1,1,35,1,973,1,0
2,1,1,2,1,1,1,1,2,1,36,1,1060,0,0
2,1,2,2,0,0,0,1,2,1,37,1,991,1,0
2,1,2,2,0,0,0,1,2,1,38,1,993,1,0
2,2,1,1,0,1,1,1,1,1,39,1,946,1,0
1,1,2,2,1,1,1,1,2,1,40,1,926,1,0
1,2,2,2,0,1,0,1,2,1,41,1,979,1,0
1,2,1,1,0,0,1,1,1,1,42,1,1156,1,0
1,2,2,1,0,0,1,1,2,1,43,1,940,0,0
2,1,1,2,1,0,0,1,2,1,44,1,799,0,0
2,2,2,2,0,1,0,1,2,1,45,1,1063,1,0
2,2,1,2,0,0,0,1,2,1,46,1,854,0,0
2,2,1,1,0,0,1,1,1,1,47,1,779,1,0
1,1,1,1,1,1,0,1,1,1,48,1,792,1,0
1,1,1,1,0,0,0,1,1,1,49,1,834,1,0
1,1,2,2,0,0,1,1,2,1,50,1,641,1,0
1,2,1,2,0,1,1,1,1,1,51,1,1126,0,0
1,1,1,1,0,1,0,1,1,1,52,1,819,1,0
1,2,2,2,0,1,1,1,2,1,53,1,832,1,0
1,1,2,2,0,1,0,1,2,1,54,1,857,1,0
1,2,1,1,0,1,1,1,1,1,55,1,936,1,0
2,2,1,1,1,1,0,1,1,1,56,1,855,1,0
2,2,1,1,0,0,0,1,1,1,57,0,963,1,0
2,1,2,2,0,1,1,1,2,1,58,1,816,1,0
