Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,correct,rt,congruent,condition
1,1,2,1,-1,-1,-1,1,2,1,1,1,786,0,1
2,1,2,1,1,0,1,1,1,1,2,1,981,0,1
1,1,2,2,1,1,1,1,2,1,3,1,735,1,1
2,1,1,1,1,0,1,1,1,1,4,0,863,1,1
1,1,2,2,1,0,1,1,2,1,5,1,659,1,1
2,1,2,2,1,1,0,1,2,1,6,1,769,1,1
1,2,1,1,1,1,1,1,1,1,7,1,739,1,1
1,1,1,1,0,1,0,1,1,1,8,1,627,1,1
2,2,2,2,1,0,1,1,2,1,9,1,1018,1,1
1,2,2,2,1,0,0,1,2,1,10,0,1060,1,1
2,2,1,2,1,1,0,1,2,1,11,1,985,0,1
1,1,1,1,1,1,1,1,1,1,12,1,722,1,1
2,1,2,1,1,1,0,1,1,1,13,1,912,0,1
1,1,1,1,1,1,0,1,1,1,14,1,675,1,1
2,1,2,2,1,1,1,1,2,1,15,1,579,1,1
2,2,1,1,0,1,1,1,1,1,16,0,808,1,1
1,2,1,1,1,1,0,1,1,1,17,0,1123,1,1
2,2,1,2,1,1,1,1,2,1,18,1,703,0,1
1,2,1,1,1,1,1,1,1,1,19,1,841,1,1
2,1,2,1,1,1,0,1,1,1,20,0,679,0,1
1,2,2,2,1,1,1,1,2,1,21,1,679,1,1
1,2,2,1,0,0,0,1,2,1,22,1,1138,0,1
2,2,2,2,1,0,0,1,2,1,23,0,692,1,1
2,2,2,2,0,0,0,1,2,1,24,1,779,1,1
1,2,1,1,1,1,1,1,1,1,25,1,713,1,1
2,2,1,1,1,0,0,1,1,1,26,0,697,1,1
1,1,1,1,1,1,0,1,1,1,27,1,658,1,1
2,2,1,2,1,0,1,1,2,1,28,1,718,0,1
1,2,1,1,1,0,1,1,1,1,29,1,746,1,1
2,1,2,2,1,1,1,1,2,1,30,1,687,1,1
1,2,2,2,1,0,0,1,2,1,31,1,828,1,1
1,1,2,1,0,1,0,1,2,1,32,1,811,0,1
2,1,1,1,1,1,1,1,1,1,33,0,1047,1,1
1,1,2,1,1,1,1,1,2,1,34,1,828,0,1
2,1,1,1,1,0,1,1,1,1,35,0,1165,1,1
2,1,2,2,0,0,1,1,2,1,36,1,1002,1,1
1,1,2,1,1,0,0,1,2,1,37,1,791,0,1
1,1,1,1,0,0,1,1,1,1,38,1,664,1,1
2,2,2,2,1,1,1,1,2,1,39,1,963,1,1
1,1,2,2,1,0,0,1,2,1,40,1,833,1,1
2,1,1,1,1,0,1,1,1,1,41,1,900,1,1
2,2,2,1,0,1,0,1,1,1,42,1,1028,0,1
1,2,2,2,1,1,1,1,2,1,43,1,1166,1,1
2,2,1,1,1,1,1,1,1,1,44,1,1308,1,1
1,1,2,2,1,1,1,1,2,1,45,1,671,1,1
2,2,1,1,1,0,1,1,1,1,46,1,824,1,1
2,1,2,2,0,1,1,1,2,1,47,0,1183,1,1
1,1,2,2,1,1,0,1,2,1,48,1,1084,1,1
1,2,2,2,0,1,0,1,2,1,49,1,649,1,1
2,2,1,2,1,0,0,1,2,1,50,1,1007,0,1
2,2,2,2,0,0,0,1,2,1,51,1,1118,1,1
1,2,2,1,1,1,0,1,2,1,52,1,704,0,1
2,2,2,2,1,1,0,1,2,1,53,1,888,1,1
2,2,1,2,0,0,0,1,2,1,54,1,712,0,1
1,2,2,1,1,0,0,1,2,1,55,1,625,0,1
1,2,1,1,0,0,1,1,1,1,56,1,922,1,1
2,2,1,1,1,0,0,1,1,1,57,1,735,1,1
1,1,1,2,1,1,0,1,1,1,58,1,738,0,1
2,1,2,2,1,0,1,1,2,1,59,1,985,1,1
1,1,1,1,1,0,1,1,1,1,60,1,541,1,1
2,2,1,1,1,1,0,1,1,1,61,1,692,1,1
1,1,2,2,1,1,1,1,2,1,62,1,967,1,1
